file	A	B	A_ms	B_ms	first
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c__p21457_edge_closing_0.smt2	sat	sat	7214	7615	A
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23483_edge_closing_0.smt2	unknown	unknown	24130	24128	B
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Sunset.c__terminationQ_0_0.smt2	unknown	unknown	24130	24127	A
QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Singapore_true-termination.c__p27347_terminationG_0.smt2	sat	sat	10319	10218	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Et3.jar-obl-9__p28829_terminationG_0.smt2	sat	sat	13321	13621	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30440_safety_0.smt2	unknown	unknown	11018	11020	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31541_safety_0.smt2	unknown	unknown	12118	12320	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32598_safety_0.smt2	unknown	unknown	11320	11522	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2	unknown	unknown	11118	11118	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4676_safety_0.smt2	unknown	unknown	11019	11120	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5722_safety_0.smt2	unknown	unknown	15221	15122	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6984_safety_0.smt2	unknown	unknown	12020	12020	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7871_safety_0.smt2	unknown	unknown	24230	24531	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8651_safety_0.smt2	sat	sat	11519	11519	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9492_safety_0.smt2	unknown	unknown	24330	24529	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Matrix.jar-obl-16__p10854_edge_closing_0.smt2	unknown	unknown	24331	24430	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2	unknown	unknown	11018	10919	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2	unknown	unknown	24230	24230	B
QF_NIA/20170427-VeryMax/ITS/From_T2__afagp-fail.t2__p15482_terminationG_0.smt2	unknown	unknown	13221	13022	A
QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-live.t2_fixed__p16479_terminationG_0.smt2	unknown	unknown	24531	25132	B
QF_NIA/20170427-VeryMax/ITS/From_T2__consts5nt.t2__p18457_edge_closing_0.smt2	sat	sat	11018	11018	A
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20676_safety_0.smt2	sat	sat	10819	10919	B
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p26914_safety_0.smt2	sat	sat	10819	10819	A
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31933_safety_0.smt2	unknown	unknown	24130	24131	B
QF_NIA/20170427-VeryMax/ITS/From_T2__fun1.t2_fixed__p697_terminationG_0.smt2	sat	sat	18625	18825	A
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.fixed.t2_fixed__terminationS_36_0.smt2	unknown	unknown	24630	24329	B
QF_NIA/20170427-VeryMax/ITS/From_T2__mc91.t2__p2846_terminationG_0.smt2	unknown	unknown	24429	24530	A
QF_NIA/20170427-VeryMax/ITS/From_T2__n-40.t2__p4304_terminationG_0.smt2	unknown	unknown	11220	11218	B
QF_NIA/20170427-VeryMax/ITS/From_T2__nakata.t2__p5351_edge_closing_0.smt2	unknown	unknown	14423	14522	A
QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	unknown	unknown	12320	12320	B
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p10157_safety_0.smt2	sat	sat	11018	11119	A
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p13494_safety_0.smt2	sat	sat	12722	12319	B
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p18409_safety_0.smt2	unknown	unknown	24129	24127	A
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-filtered.t2__p21659_terminationG_0.smt2	unknown	unknown	11620	11620	B
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22683_terminationG_0.smt2	unknown	unknown	24430	24430	A
QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unknown	unknown	24330	24330	B
QF_NIA/20170427-VeryMax/ITS/From_T2__ud.t2__term_unfeasibility_1_0.smt2	sat	sat	11021	10919	A
QF_NIA/20170427-VeryMax/SAT14/106.smt2	unknown	unknown	16723	16625	B
QF_NIA/20170427-VeryMax/SAT14/1509.smt2	unknown	unknown	18424	18426	A
QF_NIA/20170427-VeryMax/SAT14/227.smt2	unknown	unknown	24228	24230	B
QF_NIA/20170427-VeryMax/SAT14/687.smt2	unknown	unknown	17823	17824	A
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/geo1-u_valuebound2-O0.smt2	unknown	unknown	13321	13821	B
QF_NIA/20220315-MathProblems/STC_0205.smt2	sat	sat	21928	21327	A
QF_NIA/20220315-MathProblems/STC_0713.smt2	sat	sat	4113	4113	B
QF_NIA/AProVE/aproveSMT1294590808882795189.smt2	sat	sat	110	110	A
QF_NIA/AProVE/aproveSMT2912633883485370336.smt2	sat	sat	12118	12119	B
QF_NIA/AProVE/aproveSMT4687047739446499948.smt2	unknown	unknown	24130	24127	A
QF_NIA/AProVE/aproveSMT6461796824751951221.smt2	unknown	unknown	24129	24227	B
QF_NIA/AProVE/aproveSMT8300370999791707493.smt2	sat	sat	16622	16523	A
QF_NIA/leipzig/term-MRIndM.smt2	sat	sat	8117	8117	B
