# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTRES-CENSUS line>
F	UFDTLIRA/20200306-Kanig/spark2014bench/JC17-017__exit__p.adb_17_7_assert___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/K113-024__satsub__sat.ads_7_10_postcondition___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/K303-015__named_arguments__substract.adb_4_20_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/K412-014__param__pack.adb_39_22_assert___00.smt2	sat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/K519-031__subarray__subar.adb_51_10_dead_code___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_104_41_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_104_41_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_104_41_precondition___00.smt2	12	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=2 other_kinds=DtSelect { constructor: ConstructorId ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2	10	DTRES-CENSUS narrow_sites=13 wide_sites=13 narrow_pairs=30 wide_pairs=30 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=11 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2	2	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2	4	DTRES-CENSUS narrow_sites=9 wide_sites=9 narrow_pairs=12 wide_pairs=12 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=7 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=10 wide_sites=10 narrow_pairs=13 wide_pairs=13 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=8 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	10	DTRES-CENSUS narrow_sites=11 wide_sites=11 narrow_pairs=17 wide_pairs=17 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=9 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=12 wide_sites=12 narrow_pairs=21 wide_pairs=21 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=5 ctor_exact=0 ctor_inexact=9 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=9 wide_sites=9 narrow_pairs=16 wide_pairs=16 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=7 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.ads_55_17_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.ads_55_17_precondition___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
