division	file	n_assert	n_quant_assert	sk_top	sk_conj	sk_deep	sk_under_let	sk_needs_function	macro_def	macro_def_distinct	macro_unit	macro_quasi	macro_reject_occurs	macro_reject_coverage	undecided
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_16_59_33_621_1039748.smt_in.smt2	379	371	0	0	53	0	53	6	6	0	0	6	67	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_22_297_1090463.smt_in.smt2	372	353	1	0	100	0	98	29	24	0	0	4	77	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_01_14_404_1150262.smt_in.smt2	357	350	0	0	71	0	69	24	21	0	0	3	51	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_53_11_421_1041162.smt_in.smt2	359	347	0	0	38	0	38	8	8	0	4	1	128	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_53_56_537_1094926.smt_in.smt2	357	349	0	0	98	0	98	29	10	0	1	0	42	1
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_51_06_177_1165813.smt_in.smt2	360	353	0	0	75	0	75	26	14	0	1	1	65	1
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_38_347_1246149.smt_in.smt2	365	352	1	0	83	0	83	16	14	0	0	1	125	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_54_53_962_1372467.smt_in.smt2	360	343	0	0	85	0	85	13	9	0	2	2	139	1
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_51_081_1423271.smt_in.smt2	350	349	0	0	123	0	123	2	1	0	0	0	56	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_49_581_1468798.smt_in.smt2	347	344	0	0	132	0	132	5	4	0	0	0	48	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_57_47_544_1522663.smt_in.smt2	407	390	0	0	36	0	36	31	19	0	2	2	182	1
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_58_55_174_1583194.smt_in.smt2	287	284	0	0	74	0	74	7	2	0	0	0	53	1
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_59_50_619_1635445.smt_in.smt2	218	206	0	0	23	0	22	3	1	0	0	0	86	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_00_37_157_1687977.smt_in.smt2	326	325	0	0	66	0	66	0	0	0	0	0	61	1
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_01_24_430_1743988.smt_in.smt2	364	346	0	0	94	0	94	17	14	0	1	7	105	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_02_01_325_1794353.smt_in.smt2	193	182	0	0	20	0	19	2	1	0	0	0	47	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_02_44_169_1850576.smt_in.smt2	357	353	0	0	28	0	28	6	6	0	0	0	164	0
UF	UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_24_482_1905427.smt_in.smt2	356	351	0	0	13	0	13	18	16	0	0	0	146	0
