class	reason	detail	body	params
NESTED	unresolved-outer-bound-var		(or (= this ?p_!11) (= (select2 (store2 Heap_ this localinv_ System.Object) ?p_!11 localinv_) (select2 Heap_ ?p_!11 localinv_)))	["Heap_", "this", "localinv_", "?p_!11", "localinv_", "System.Object"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (= AssignToRepField System.Object) (not (subtypes AssignToRepField System.Object)) (not (subtypes System.Object AssignToRepField)))	["AssignToRepField", "System.Object"]
NESTED	unresolved-outer-bound-var		(or (= (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerFrame_) PeerGroupPlaceholder_) (= (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerRef_) localinv_) (BaseClass_ (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerFrame_))) (not (= (IsHeap (store2 Heap_0_ this exposeVersion_ temp0_0)) Smt.true)) (not (subtypes (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerRef_) inv_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerFrame_))) (not (or (not (= (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 inv_) (typeof_ ?p_!11))) (not (= (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 localinv_) (typeof_ ?p_!11))))))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "?p_!11"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (= localinv_ inv_) (= (select2 (store2 Heap_ this localinv_ System.Object) this inv_) (select2 Heap_ this inv_)))	["Heap_", "this", "localinv_", "this", "inv_", "System.Object"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (= exposeVersion_ inv_) (= (select2 (store2 (store2 Heap_ this localinv_ System.Object) this exposeVersion_ temp0_0) this inv_) (select2 (store2 Heap_ this localinv_ System.Object) this inv_)))	["(store2 Heap_ this localinv_ System.Object)", "this", "exposeVersion_", "this", "inv_", "temp0_0"]
NESTED	unresolved-outer-bound-var		(or (= localinv_ inv_) (= (select2 (store2 Heap_ this localinv_ System.Object) ?p_!11 inv_) (select2 Heap_ ?p_!11 inv_)))	["Heap_", "this", "localinv_", "?p_!11", "inv_", "System.Object"]
NESTED	unresolved-outer-bound-var		(or (= exposeVersion_ inv_) (= (select2 (store2 (store2 Heap_ this localinv_ System.Object) this exposeVersion_ temp0_0) ?p_!11 inv_) (select2 (store2 Heap_ this localinv_ System.Object) ?p_!11 inv_)))	["(store2 Heap_ this localinv_ System.Object)", "this", "exposeVersion_", "?p_!11", "inv_", "temp0_0"]
NESTED	unresolved-outer-bound-var		(or (= AssignToRepField.f inv_) (= (select2 (store2 (store2 Heap_0_ this exposeVersion_ temp0_0) this AssignToRepField.f nullObject) ?p_!11 inv_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 inv_)))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "this", "AssignToRepField.f", "?p_!11", "inv_", "nullObject"]
NESTED	unresolved-outer-bound-var		(or (= exposeVersion_ localinv_) (= (select2 (store2 (store2 Heap_ this localinv_ System.Object) this exposeVersion_ temp0_0) ?p_!11 localinv_) (select2 (store2 Heap_ this localinv_ System.Object) ?p_!11 localinv_)))	["(store2 Heap_ this localinv_ System.Object)", "this", "exposeVersion_", "?p_!11", "localinv_", "temp0_0"]
NESTED	unresolved-outer-bound-var		(or (= AssignToRepField.f localinv_) (= (select2 (store2 (store2 Heap_0_ this exposeVersion_ temp0_0) this AssignToRepField.f nullObject) ?p_!11 localinv_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 localinv_)))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "this", "AssignToRepField.f", "?p_!11", "localinv_", "nullObject"]
NESTED	unresolved-outer-bound-var		(or (= (select2 Heap_ ?p_!11 ownerFrame_) PeerGroupPlaceholder_) (= (select2 Heap_ (select2 Heap_ ?p_!11 ownerRef_) localinv_) (BaseClass_ (select2 Heap_ ?p_!11 ownerFrame_))) (not (= (IsHeap Heap_) Smt.true)) (not (subtypes (select2 Heap_ (select2 Heap_ ?p_!11 ownerRef_) inv_) (select2 Heap_ ?p_!11 ownerFrame_))) (not (or (not (= (select2 Heap_ ?p_!11 inv_) (typeof_ ?p_!11))) (not (= (select2 Heap_ ?p_!11 localinv_) (typeof_ ?p_!11))))))	["Heap_", "?p_!11"]
