class	reason	detail	body	params
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=104353	(or (= System.Object Person) (not (subtypes Person System.Object)) (not (subtypes System.Object Person)))	["System.Object", "Person"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=104353	(or (= this nullObject) (= Person.spouse inv_) (= Person.spouse localinv_) (= Person.spouse FirstConsistentOwner_) (= (select2 Heap_ this Person.spouse) (select2 Heap_0_ this Person.spouse)) (not (or (not (= (IsStaticField Person.spouse) Smt.true)) (not (= (IsDirectlyModifiableField Person.spouse) Smt.true)))) (not (= (select2 Heap_ this allocated_) Smt.true)) (not (or (= (select2 Heap_ this ownerFrame_) PeerGroupPlaceholder_) (not (subtypes (select2 Heap_ (select2 Heap_ this ownerRef_) inv_) (select2 Heap_ this ownerFrame_))) (= (select2 Heap_ (select2 Heap_ this ownerRef_) localinv_) (BaseClass_ (select2 Heap_ this ownerFrame_))))) (not (or (not (= this this)) (not (subtypes System.Object (DeclType Person.spouse))))))	["this", "Person.spouse"]
NESTED	unresolved-outer-bound-var		(or (= ?p_!5 this) (not (= (select2 Heap_ ?p_!5 ownerRef_) this)))	["?p_!5"]
NESTED	unresolved-outer-bound-var		(or (= ?p_!5 nullObject) (not (= (select2 Heap_ ?p_!5 allocated_) Smt.true)) (not (or (not (= (select2 Heap_ ?p_!5 ownerRef_) (select2 Heap_0_ ?p_!5 ownerRef_))) (not (= (select2 Heap_ ?p_!5 ownerFrame_) (select2 Heap_0_ ?p_!5 ownerFrame_))))))	["?p_!5"]
NESTED	unresolved-outer-bound-var		(or (= ?p_!5 nullObject) (= (select2 Heap_ ?p_!5 allocated_) Smt.true) (not (= (select2 Heap_0_ ?p_!5 allocated_) Smt.true)) (not (or (not (= (select2 Heap_0_ ?p_!5 inv_) (typeof_ ?p_!5))) (not (= (select2 Heap_0_ ?p_!5 localinv_) (typeof_ ?p_!5))))))	["?p_!5"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=104353	(or (= inv_ localinv_) (= (select2 (store2 Heap_0_ this inv_ Person) this localinv_) (select2 Heap_0_ this localinv_)))	["Heap_0_", "this", "inv_", "this", "localinv_", "Person"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=104353	(= (select2 (store2 Heap_0_ this inv_ Person) this inv_) Person)	["Heap_0_", "this", "inv_", "Person"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=104353	(or (= this nullObject) (not (= (select2 Heap_ this allocated_) Smt.true)) (not (or (not (= (select2 Heap_ this ownerRef_) (select2 Heap_1_ this ownerRef_))) (not (= (select2 Heap_ this ownerFrame_) (select2 Heap_1_ this ownerFrame_))))))	["this"]
NESTED	unresolved-outer-bound-var		(or (= inv_ ownerFrame_) (= (select2 (store2 Heap_0_ this inv_ Person) ?o_!6 ownerFrame_) (select2 Heap_0_ ?o_!6 ownerFrame_)))	["Heap_0_", "this", "inv_", "?o_!6", "ownerFrame_", "Person"]
NESTED	unresolved-outer-bound-var		(or (= ?o_!6 nullObject) (not (= (select2 Heap_ ?o_!6 allocated_) Smt.true)) (not (or (not (= (select2 Heap_ ?o_!6 ownerRef_) (select2 Heap_0_ ?o_!6 ownerRef_))) (not (= (select2 Heap_ ?o_!6 ownerFrame_) (select2 Heap_0_ ?o_!6 ownerFrame_))))))	["?o_!6"]
NESTED	unresolved-outer-bound-var		(or (= inv_ ownerRef_) (= (select2 (store2 Heap_0_ this inv_ Person) ?o_!6 ownerRef_) (select2 Heap_0_ ?o_!6 ownerRef_)))	["Heap_0_", "this", "inv_", "?o_!6", "ownerRef_", "Person"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=104353	(or (= inv_ sharingMode_) (= (select2 (store2 Heap_0_ this inv_ Person) this sharingMode_) (select2 Heap_0_ this sharingMode_)))	["Heap_0_", "this", "inv_", "this", "sharingMode_", "Person"]
