class	reason	detail	body	params
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=2556	(or (not (subtypes (asChild T_javafe.ast.PrimitiveType T_javafe.ast.Type) T_java.lang.Object)) (= (= Smt.true (is this (asChild T_javafe.ast.PrimitiveType T_javafe.ast.Type))) (or (= this null) (subtypes (typeof this) (asChild T_javafe.ast.PrimitiveType T_javafe.ast.Type)))))	["this", "(asChild T_javafe.ast.PrimitiveType T_javafe.ast.Type)"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=2556	(or (subtypes (asChild T_javafe.ast.PrimitiveType T_javafe.ast.Type) T_java.lang.Object) (not (subtypes (asChild T_javafe.ast.PrimitiveType T_javafe.ast.Type) (asChild T_javafe.ast.Type T_javafe.ast.ASTNode))) (not (subtypes (asChild T_javafe.ast.Type T_javafe.ast.ASTNode) T_java.lang.Object)))	["(asChild T_javafe.ast.PrimitiveType T_javafe.ast.Type)", "(asChild T_javafe.ast.Type T_javafe.ast.ASTNode)", "T_java.lang.Object"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=2556	(or (subtypes (asChild T_javafe.ast.Type T_javafe.ast.ASTNode) T_java.lang.Object) (not (subtypes (asChild T_javafe.ast.Type T_javafe.ast.ASTNode) (asChild T_javafe.ast.ASTNode T_java.lang.Object))) (not (subtypes (asChild T_javafe.ast.ASTNode T_java.lang.Object) T_java.lang.Object)))	["(asChild T_javafe.ast.Type T_javafe.ast.ASTNode)", "(asChild T_javafe.ast.ASTNode T_java.lang.Object)", "T_java.lang.Object"]
NEVER-MATCHED	missing-term	missing=['(typeof this)'] nested_product=False	(or (subtypes (typeof this) (asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode)) (not (subtypes (typeof this) (asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr))) (not (subtypes (asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr) (asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode))))	["(typeof this)", "(asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr)", "(asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode)"]
NEVER-MATCHED	missing-term	missing=['(typeof this)'] nested_product=False	(or (not (subtypes (typeof this) (asChild (asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode) (asChild T_javafe.ast.ASTNode T_java.lang.Object)))) (= (classDown (asChild T_javafe.ast.ASTNode T_java.lang.Object) (typeof this)) (asChild (asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode) (asChild T_javafe.ast.ASTNode T_java.lang.Object))))	["(typeof this)", "(asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode)", "(asChild T_javafe.ast.ASTNode T_java.lang.Object)"]
NEVER-MATCHED	missing-term	missing=['(typeof this)'] nested_product=False	(or (not (subtypes (typeof this) (asChild (asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode) (asChild T_javafe.ast.ASTNode T_java.lang.Object)))) (= (classDown (asChild T_javafe.ast.ASTNode T_java.lang.Object) (typeof this)) (asChild (asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode) (asChild T_javafe.ast.ASTNode T_java.lang.Object))))	["(typeof this)", "(asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode)", "(asChild T_javafe.ast.ASTNode T_java.lang.Object)"]
NEVER-MATCHED	missing-term	missing=['(typeof this)'] nested_product=False	(or (subtypes (typeof this) (asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode)) (not (subtypes (typeof this) (asChild T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl))) (not (subtypes (asChild T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl) (asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode))))	["(typeof this)", "(asChild T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl)", "(asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode)"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=2556	(or (not (subtypes (asChild T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl) T_java.lang.Object)) (= (= Smt.true (is this (asChild T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl))) (or (= this null) (subtypes (typeof this) (asChild T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl)))))	["this", "(asChild T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl)"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=2556	(or (subtypes (asChild T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl) T_java.lang.Object) (not (subtypes (asChild T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl) (asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode))) (not (subtypes (asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode) T_java.lang.Object)))	["(asChild T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl)", "(asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode)", "T_java.lang.Object"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=2556	(or (subtypes (asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode) T_java.lang.Object) (not (subtypes (asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode) (asChild T_javafe.ast.ASTNode T_java.lang.Object))) (not (subtypes (asChild T_javafe.ast.ASTNode T_java.lang.Object) T_java.lang.Object)))	["(asChild T_javafe.ast.RoutineDecl T_javafe.ast.ASTNode)", "(asChild T_javafe.ast.ASTNode T_java.lang.Object)", "T_java.lang.Object"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=2556	(or (not (subtypes (asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr) T_java.lang.Object)) (= (= Smt.true (is this (asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr))) (or (= this null) (subtypes (typeof this) (asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr)))))	["this", "(asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr)"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=2556	(or (subtypes (asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr) T_java.lang.Object) (not (subtypes (asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr) (asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode))) (not (subtypes (asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode) T_java.lang.Object)))	["(asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr)", "(asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode)", "T_java.lang.Object"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=2556	(or (subtypes (asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode) T_java.lang.Object) (not (subtypes (asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode) (asChild T_javafe.ast.ASTNode T_java.lang.Object))) (not (subtypes (asChild T_javafe.ast.ASTNode T_java.lang.Object) T_java.lang.Object)))	["(asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode)", "(asChild T_javafe.ast.ASTNode T_java.lang.Object)", "T_java.lang.Object"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=2556	(or (subtypes (asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr) (asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode)) (not (subtypes (asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr) (asChild T_javafe.ast.Expr T_javafe.ast.VarInit))) (not (subtypes (asChild T_javafe.ast.Expr T_javafe.ast.VarInit) (asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode))))	["(asChild T_javafe.ast.LiteralExpr T_javafe.ast.Expr)", "(asChild T_javafe.ast.Expr T_javafe.ast.VarInit)", "(asChild T_javafe.ast.VarInit T_javafe.ast.ASTNode)"]
