class	reason	detail	body	params
NESTED	unresolved-outer-bound-var		(or (= ?p_!4 this) (not (= (select2 Heap_ ?p_!4 ownerRef_) this)))	["?p_!4"]
NESTED	unresolved-outer-bound-var		(or (= ?p_!4 nullObject) (not (= (select2 Heap_ ?p_!4 allocated_) Smt.true)) (not (or (not (= (select2 Heap_ ?p_!4 ownerRef_) (select2 Heap_0_ ?p_!4 ownerRef_))) (not (= (select2 Heap_ ?p_!4 ownerFrame_) (select2 Heap_0_ ?p_!4 ownerFrame_))))))	["?p_!4"]
NESTED	unresolved-outer-bound-var		(or (= ?p_!4 nullObject) (= (select2 Heap_ ?p_!4 allocated_) Smt.true) (not (= (select2 Heap_0_ ?p_!4 allocated_) Smt.true)) (not (or (not (= (select2 Heap_0_ ?p_!4 inv_) (typeof_ ?p_!4))) (not (= (select2 Heap_0_ ?p_!4 localinv_) (typeof_ ?p_!4))))))	["?p_!4"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=105051	(or (= inv_ localinv_) (= (select2 (store2 Heap_0_ this inv_ InternalSubClass) this localinv_) (select2 Heap_0_ this localinv_)))	["Heap_0_", "this", "inv_", "this", "localinv_", "InternalSubClass"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=105051	(= (select2 (store2 Heap_0_ this inv_ InternalSubClass) this inv_) InternalSubClass)	["Heap_0_", "this", "inv_", "InternalSubClass"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=105051	(or (= this nullObject) (not (= (select2 Heap_ this allocated_) Smt.true)) (not (or (not (= (select2 Heap_ this ownerRef_) (select2 Heap_1_ this ownerRef_))) (not (= (select2 Heap_ this ownerFrame_) (select2 Heap_1_ this ownerFrame_))))))	["this"]
NESTED	unresolved-outer-bound-var		(or (= inv_ ownerFrame_) (= (select2 (store2 Heap_0_ this inv_ InternalSubClass) ?o_!5 ownerFrame_) (select2 Heap_0_ ?o_!5 ownerFrame_)))	["Heap_0_", "this", "inv_", "?o_!5", "ownerFrame_", "InternalSubClass"]
NESTED	unresolved-outer-bound-var		(or (= ?o_!5 nullObject) (not (= (select2 Heap_ ?o_!5 allocated_) Smt.true)) (not (or (not (= (select2 Heap_ ?o_!5 ownerRef_) (select2 Heap_0_ ?o_!5 ownerRef_))) (not (= (select2 Heap_ ?o_!5 ownerFrame_) (select2 Heap_0_ ?o_!5 ownerFrame_))))))	["?o_!5"]
NESTED	unresolved-outer-bound-var		(or (= inv_ ownerRef_) (= (select2 (store2 Heap_0_ this inv_ InternalSubClass) ?o_!5 ownerRef_) (select2 Heap_0_ ?o_!5 ownerRef_)))	["Heap_0_", "this", "inv_", "?o_!5", "ownerRef_", "InternalSubClass"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=105051	(or (= inv_ sharingMode_) (= (select2 (store2 Heap_0_ this inv_ InternalSubClass) this sharingMode_) (select2 Heap_0_ this sharingMode_)))	["Heap_0_", "this", "inv_", "this", "sharingMode_", "InternalSubClass"]
