class	reason	detail	body	params
NESTED	unresolved-outer-bound-var		(or (= ?brokenObj_3_!21 null) (= ?brokenObj_3_!21 objectToBeConstructed) (>= (S_select count_67_33 ?brokenObj_3_!21) 0) (not (= true_term (is ?brokenObj_3_!21 T_javafe_ast_CatchClauseVec))))	["?brokenObj_3_!21"]
NESTED	unresolved-outer-bound-var		(or (= RES_91_36_91_36 ?brokenObj_3_!21) (= (S_select (S_store (S_store count_67_33 RES_91_36_91_36 0) RES_91_36_91_36 0) ?brokenObj_3_!21) (S_select (S_store count_67_33 RES_91_36_91_36 0) ?brokenObj_3_!21)))	["(S_store count_67_33 RES_91_36_91_36 0)", "RES_91_36_91_36", "?brokenObj_3_!21", "0"]
NESTED	unresolved-outer-bound-var		(or (= RES_91_36_91_36 ?brokenObj_3_!21) (= (S_select (S_store (asField count_67_33 T_int) RES_91_36_91_36 0) ?brokenObj_3_!21) (S_select (asField count_67_33 T_int) ?brokenObj_3_!21)))	["(asField count_67_33 T_int)", "RES_91_36_91_36", "?brokenObj_3_!21", "0"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(= (S_select (S_store (asField owner_4_35_28 T_java_lang_Object) (S_select elements_92_6 RES_91_36_91_36) RES_91_36_91_36) (S_select elements_92_6 RES_91_36_91_36)) RES_91_36_91_36)	["(asField owner_4_35_28 T_java_lang_Object)", "(S_select elements_92_6 RES_91_36_91_36)", "RES_91_36_91_36"]
NESTED	unresolved-outer-bound-var		(or (= (S_select elements_92_6 RES_91_36_91_36) (S_select elements_92_6 ?brokenObj_1_!16)) (= (S_select (S_store (asField owner_4_35_28 T_java_lang_Object) (S_select elements_92_6 RES_91_36_91_36) RES_91_36_91_36) (S_select elements_92_6 ?brokenObj_1_!16)) (S_select (asField owner_4_35_28 T_java_lang_Object) (S_select elements_92_6 ?brokenObj_1_!16))))	["(asField owner_4_35_28 T_java_lang_Object)", "(S_select elements_92_6 RES_91_36_91_36)", "(S_select elements_92_6 ?brokenObj_1_!16)", "RES_91_36_91_36"]
NESTED	unresolved-outer-bound-var		(or (= RES_91_36_91_36 ?brokenObj_1_!16) (= (S_select (S_store (asField elements_61_40 (array T_javafe_ast_CatchClause)) RES_91_36_91_36 elements_zero) ?brokenObj_1_!16) (S_select (asField elements_61_40 (array T_javafe_ast_CatchClause)) ?brokenObj_1_!16)))	["(asField elements_61_40 (array T_javafe_ast_CatchClause))", "RES_91_36_91_36", "?brokenObj_1_!16", "elements_zero"]
NESTED	unresolved-outer-bound-var		(or (= RES_91_36_91_36 ?brokenObj_1_!16) (= (S_select (S_store (S_store elements_61_40 RES_91_36_91_36 elements_zero) RES_91_36_91_36 (S_select elements_92_6 RES_91_36_91_36)) ?brokenObj_1_!16) (S_select (S_store elements_61_40 RES_91_36_91_36 elements_zero) ?brokenObj_1_!16)))	["(S_store elements_61_40 RES_91_36_91_36 elements_zero)", "RES_91_36_91_36", "?brokenObj_1_!16", "(S_select elements_92_6 RES_91_36_91_36)"]
NESTED	unresolved-outer-bound-var		(or (= ?brokenObj_1_!16 null) (= ?brokenObj_1_!16 objectToBeConstructed) (= (S_select owner_4_35_28 (S_select elements_61_40 ?brokenObj_1_!16)) ?brokenObj_1_!16) (not (= true_term (is ?brokenObj_1_!16 T_javafe_ast_CatchClauseVec))))	["?brokenObj_1_!16"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (= true_term (isAllocated (S_select elements_92_6 RES_91_36_91_36) after_91_36_91_36)) (= (S_select owner_4_35_28 tmp0_new_CatchClause___92_17) null) (not (= true_term (isAllocated (S_select elements_92_6 RES_91_36_91_36) alloc_1_))))	["(S_select elements_92_6 RES_91_36_91_36)"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (= (S_select elements_92_6 RES_91_36_91_36) RES_91_36_91_36) (= (S_select (S_store (asField owner_4_35_28 T_java_lang_Object) (S_select elements_92_6 RES_91_36_91_36) RES_91_36_91_36) RES_91_36_91_36) (S_select (asField owner_4_35_28 T_java_lang_Object) RES_91_36_91_36)))	["(asField owner_4_35_28 T_java_lang_Object)", "(S_select elements_92_6 RES_91_36_91_36)", "RES_91_36_91_36", "RES_91_36_91_36"]
NESTED	unresolved-outer-bound-var		(or (= RES_91_36_91_36 ?brokenObj_4_!17) (= (S_select (S_store (S_store elements_61_40 RES_91_36_91_36 elements_zero) RES_91_36_91_36 (S_select elements_92_6 RES_91_36_91_36)) ?brokenObj_4_!17) (S_select (S_store elements_61_40 RES_91_36_91_36 elements_zero) ?brokenObj_4_!17)))	["(S_store elements_61_40 RES_91_36_91_36 elements_zero)", "RES_91_36_91_36", "?brokenObj_4_!17", "(S_select elements_92_6 RES_91_36_91_36)"]
NESTED	unresolved-outer-bound-var		(or (= RES_91_36_91_36 ?brokenObj_4_!17) (= (S_select (S_store (asField elements_61_40 (array T_javafe_ast_CatchClause)) RES_91_36_91_36 elements_zero) ?brokenObj_4_!17) (S_select (asField elements_61_40 (array T_javafe_ast_CatchClause)) ?brokenObj_4_!17)))	["(asField elements_61_40 (array T_javafe_ast_CatchClause))", "RES_91_36_91_36", "?brokenObj_4_!17", "elements_zero"]
NESTED	unresolved-outer-bound-var		(or (= ?brokenObj_4_!17 null) (= ?brokenObj_4_!17 objectToBeConstructed) (= (typeof (S_select elements_61_40 ?brokenObj_4_!17)) (array T_javafe_ast_CatchClause)) (not (= true_term (is ?brokenObj_4_!17 T_javafe_ast_CatchClauseVec))))	["?brokenObj_4_!17"]
NESTED	unresolved-outer-bound-var		(or (= ?brokenObj_2_!20 null) (= ?brokenObj_2_!20 objectToBeConstructed) (<= (+ (S_select count_67_33 ?brokenObj_2_!20) (* (- 1) (arrayLength (S_select elements_61_40 ?brokenObj_2_!20)))) 0) (not (= true_term (is ?brokenObj_2_!20 T_javafe_ast_CatchClauseVec))))	["?brokenObj_2_!20"]
