class	reason	detail	body	params
NESTED	unresolved-outer-bound-var		(or (= this ?brokenObj_3_!33) (= (S_select (S_store (asField count_67_33 T_int) this (+ (- 1) tmp3_old_count_244_4_0_249_1)) ?brokenObj_3_!33) (S_select (asField count_67_33 T_int) ?brokenObj_3_!33)))	["(asField count_67_33 T_int)", "this", "?brokenObj_3_!33", "(+ (- 1) tmp3_old_count_244_4_0_249_1)"]
NESTED	unresolved-outer-bound-var		(or (= ?brokenObj!31 null) (>= (S_select count_67_33 ?brokenObj!31) 0) (not (= true_term (is ?brokenObj!31 T_javafe_ast_LexicalPragmaVec))))	["?brokenObj!31"]
NESTED	unresolved-outer-bound-var		(or (= this ?brokenObj!31) (= (S_select (S_store (asField count_67_33 T_int) this (+ (- 1) tmp3_old_count_244_4_0_249_1)) ?brokenObj!31) (S_select (asField count_67_33 T_int) ?brokenObj!31)))	["(asField count_67_33 T_int)", "this", "?brokenObj!31", "(+ (- 1) tmp3_old_count_244_4_0_249_1)"]
NESTED	unresolved-outer-bound-var		(or (= (S_select elements_61_42 this) (S_select elements_61_42 ?brokenObj!31)) (= (S_select (S_store (asElems elems) (S_select elements_61_42 this) (S_store (S_select elems tmp0_elements_244_4_0_247_1_0_248_3) 0 (S_select (S_select elems (S_select elements_61_42 this)) 1))) (S_select elements_61_42 ?brokenObj!31)) (S_select (asElems elems) (S_select elements_61_42 ?brokenObj!31))))	["(asElems elems)", "(S_select elements_61_42 this)", "(S_select elements_61_42 ?brokenObj!31)", "(S_store (S_select elems tmp0_elements_244_4_0_247_1_0_248_3) 0 (S_select (S_select elems (S_select elements_61_42 this)) 1))"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (= this null) (= (S_select owner_4_35_28 (S_select elements_61_42 this)) this) (not (= true_term (is this T_javafe_ast_LexicalPragmaVec))))	["this"]
NEVER-MATCHED	missing-term	missing=['(S_select (S_select elems (S_select elements_61_42 this)) 1)'] nested_product=False	(= (S_select (S_store (S_select elems (S_select elements_61_42 this)) 0 (S_select (S_select elems (S_select elements_61_42 this)) 1)) 0) (S_select (S_select elems (S_select elements_61_42 this)) 1))	["(S_select elems (S_select elements_61_42 this))", "0", "(S_select (S_select elems (S_select elements_61_42 this)) 1)"]
NEVER-MATCHED	missing-term	missing=['(S_store (S_select elems tmp0_elements_244_4_0_247_1_0_248_3) 0 (S_select (S_select elems (S_select elements_61_42 this)) 1))'] nested_product=False	(= (S_select (S_store (asElems elems) (S_select elements_61_42 this) (S_store (S_select elems tmp0_elements_244_4_0_247_1_0_248_3) 0 (S_select (S_select elems (S_select elements_61_42 this)) 1))) (S_select elements_61_42 this)) (S_store (S_select elems tmp0_elements_244_4_0_247_1_0_248_3) 0 (S_select (S_select elems (S_select elements_61_42 this)) 1)))	["(asElems elems)", "(S_select elements_61_42 this)", "(S_store (S_select elems tmp0_elements_244_4_0_247_1_0_248_3) 0 (S_select (S_select elems (S_select elements_61_42 this)) 1))"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (= this null) (not (= true_term (is this T_javafe_ast_LexicalPragmaVec))) (forall ((?i_62_31 Int)) (! (let (((>= ?i_62_31 0) (>= ?i_62_31 0))) (let (((not (>= ?i_62_31 0)) (not (>= ?i_62_31 0)))) (let (((>= (+ ?i_62_31 (* (- 1) (S_select count_67_33 this))) 0) (>= (+ ?i_62_31 (* (- 1) (S_select count_67_33 this))) 0))) (let (((S_select elements_61_42 this) (S_select elements_61_42 this))) (let (((S_select elems (S_select elements_61_42 this)) (S_select elems (S_select elements_61_42 this)))) (let (((S_select (S_select elems (S_select elements_61_42 this)) ?i_62_31) (S_select (S_select elems (S_select elements_61_42 this)) ?i_62_31))) (let (((not (= (S_select (S_select elems (S_select elements_61_42 this)) ?i_62_31) null)) (not (= (S_select (S_select elems (S_select elements_61_42 this)) ?i_62_31) null)))) (or (not (= (S_select (S_select elems (S_select elements_61_42 this)) ?i_62_31) null)) (>= (+ ?i_62_31 (* (- 1) (S_select count_67_33 this))) 0) (not (>= ?i_62_31 0)))))))))) :pattern ((S_select (S_select elems (S_select elements_61_42 this)) ?i_62_31)) :qid k!180)))	["this"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (not (>= 1 0)) (>= (+ 1 (* (- 1) (S_select count_67_33 this))) 0) (not (= (S_select (S_select elems (S_select elements_61_42 this)) 1) null)))	["1"]
NESTED	unresolved-outer-bound-var		(or (= ?brokenObj!31 null) (= (S_select owner_4_35_28 (S_select elements_61_42 ?brokenObj!31)) ?brokenObj!31) (not (= true_term (is ?brokenObj!31 T_javafe_ast_LexicalPragmaVec))))	["?brokenObj!31"]
