class	reason	detail	body	params
NEVER-MATCHED	missing-term	missing=['RES_977.14_977.14'] nested_product=False	(= (select1 (store1 (asField rootCache_987.20_ T_javafe.tc.TypeSig) this RES_977.14_977.14) this) RES_977.14_977.14)	["(asField rootCache_987.20_ T_javafe.tc.TypeSig)", "this", "RES_977.14_977.14"]
NEVER-MATCHED	missing-term	missing=['RES_937.26_937.26'] nested_product=False	(or (= RES_937.26_937.26 null) (not (= (select1 locCloseBrace_17.54.13 RES_937.26_937.26) NULL_40.60.26)) (not (= Smt.true (is RES_937.26_937.26 T_javafe.ast.TypeDecl))))	["RES_937.26_937.26"]
NEVER-MATCHED	missing-term	missing=['RES_936.24_936.24'] nested_product=False	(or (= RES_936.24_936.24 null) (nonnullelements (select1 packageName_6.27.40 RES_936.24_936.24) elems) (not (= Smt.true (is RES_936.24_936.24 T_javafe.tc.TypeSig))))	["RES_936.24_936.24"]
NEVER-MATCHED	missing-term	missing=['RES_937.26_937.26'] nested_product=False	(or (= RES_937.26_937.26 null) (not (= (select1 locOpenBrace_17.51.13 RES_937.26_937.26) NULL_40.60.26)) (not (= Smt.true (is RES_937.26_937.26 T_javafe.ast.TypeDecl))))	["RES_937.26_937.26"]
NEVER-MATCHED	missing-term	missing=['RES_937.26_937.26'] nested_product=False	(or (= RES_937.26_937.26 null) (not (= (select1 locId_17.48.13 RES_937.26_937.26) NULL_40.60.26)) (not (= Smt.true (is RES_937.26_937.26 T_javafe.ast.TypeDecl))))	["RES_937.26_937.26"]
NEVER-MATCHED	missing-term	missing=['RES_937.26_937.26'] nested_product=False	(or (= RES_937.26_937.26 null) (not (= (select1 loc_17.45.13 RES_937.26_937.26) NULL_40.60.26)) (not (= Smt.true (is RES_937.26_937.26 T_javafe.ast.TypeDecl))))	["RES_937.26_937.26"]
NEVER-MATCHED	missing-term	missing=['(cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl)'] nested_product=False	(or (= (cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl) null) (not (= (select1 loc_25.40.13 (cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl)) NULL_40.60.26)) (not (= Smt.true (is (cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl) T_javafe.ast.RoutineDecl))))	["(cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl)"]
NEVER-MATCHED	missing-term	missing=['(cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl)'] nested_product=False	(or (= (cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl) null) (not (= (select1 locId_25.43.13 (cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl)) NULL_40.60.26)) (not (= Smt.true (is (cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl) T_javafe.ast.RoutineDecl))))	["(cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl)"]
NEVER-MATCHED	missing-term	missing=['(typeof (cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl))'] nested_product=False	(or (subtypes (typeof (cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl)) T_javafe.ast.RoutineDecl) (not (subtypes T_javafe.ast.MethodDecl T_javafe.ast.RoutineDecl)) (not (subtypes (typeof (cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl)) T_javafe.ast.MethodDecl)))	["(typeof (cast RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl))", "T_javafe.ast.MethodDecl", "T_javafe.ast.RoutineDecl"]
NEVER-MATCHED	missing-term	missing=['RES_941.1_0_942.35_942.35'] nested_product=False	(or (not (subtypes T_javafe.ast.MethodDecl T_java.lang.Object)) (= (= Smt.true (is RES_941.1_0_942.35_942.35 T_javafe.ast.MethodDecl)) (or (= RES_941.1_0_942.35_942.35 null) (subtypes (typeof RES_941.1_0_942.35_942.35) T_javafe.ast.MethodDecl))))	["RES_941.1_0_942.35_942.35", "T_javafe.ast.MethodDecl"]
