class	reason	detail	body	params
NESTED	unresolved-outer-bound-var		(or (not (= (f3 (f4 f5 f22) (?v5!1 f23 (f10 f11 (f12 f22)) f21 f20) (f6 f7 (+ 1 (f8 f9 f20))) (?v6!3 f23 (f10 f11 (f12 f22)) f21 f20)) f1)) (= (f18 (f19 f23 (?v4!2 f23 (f10 f11 (f12 f22)) f21 f20)) (?v6!3 f23 (f10 f11 (f12 f22)) f21 f20)) f1))	["(?v6!3 f23 (f10 f11 (f12 f22)) f21 f20)"]
NESTED	unresolved-outer-bound-var		(or (not (= (f18 (f19 f21 (?v4!2 f23 (f10 f11 (f12 f22)) f21 f20)) (?v5!1 f23 (f10 f11 (f12 f22)) f21 f20)) f1)) (forall ((?v6 S3)) (! (let (((f10 f11 (f12 f22)) (f10 f11 (f12 f22)))) (let (((?v4!2 f23 (f10 f11 (f12 f22)) f21 f20) (?v4!2 f23 (f10 f11 (f12 f22)) f21 f20))) (let (((f19 f23 (?v4!2 f23 (f10 f11 (f12 f22)) f21 f20)) (f19 f23 (?v4!2 f23 (f10 f11 (f12 f22)) f21 f20)))) (let (((f18 (f19 f23 (?v4!2 f23 (f10 f11 (f12 f22)) f21 f20)) ?v6) (f18 (f19 f23 (?v4!2 f23 (f10 f11 (f12 f22)) f21 f20)) ?v6))) (let (((f8 f9 f20) (f8 f9 f20))) (let (((+ 1 (f8 f9 f20)) (+ 1 (f8 f9 f20)))) (let (((f6 f7 (+ 1 (f8 f9 f20))) (f6 f7 (+ 1 (f8 f9 f20))))) (let (((?v5!1 f23 (f10 f11 (f12 f22)) f21 f20) (?v5!1 f23 (f10 f11 (f12 f22)) f21 f20))) (let (((f4 f5 f22) (f4 f5 f22))) (let (((f3 (f4 f5 f22) (?v5!1 f23 (f10 f11 (f12 f22)) f21 f20) (f6 f7 (+ 1 (f8 f9 f20))) ?v6) (f3 (f4 f5 f22) (?v5!1 f23 (f10 f11 (f12 f22)) f21 f20) (f6 f7 (+ 1 (f8 f9 f20))) ?v6))) (or (not (= (f3 (f4 f5 f22) (?v5!1 f23 (f10 f11 (f12 f22)) f21 f20) (f6 f7 (+ 1 (f8 f9 f20))) ?v6) f1)) (= (f18 (f19 f23 (?v4!2 f23 (f10 f11 (f12 f22)) f21 f20)) ?v6) f1)))))))))))) :pattern ((f3 (f4 f5 f22) (?v5!1 f23 (f10 f11 (f12 f22)) f21 f20) (f6 f7 (+ 1 (f8 f9 f20))) ?v6)) :pattern ((f18 (f19 f23 (?v4!2 f23 (f10 f11 (f12 f22)) f21 f20)) ?v6)) :qid k!49)))	["(?v4!2 f23 (f10 f11 (f12 f22)) f21 f20)", "(?v5!1 f23 (f10 f11 (f12 f22)) f21 f20)"]
NESTED	unresolved-outer-bound-var		(or (not (= (f3 (f10 f11 (f12 f22)) (?v5!1 f23 (f10 f11 (f12 f22)) f21 f20) f20 (?v6!3 f23 (f10 f11 (f12 f22)) f21 f20)) f1)) (= (f3 (f4 f5 f22) (?v5!1 f23 (f10 f11 (f12 f22)) f21 f20) (f6 f7 (+ 1 (f8 f9 f20))) (?v6!3 f23 (f10 f11 (f12 f22)) f21 f20)) f1))	["f22", "(?v5!1 f23 (f10 f11 (f12 f22)) f21 f20)", "f20", "(?v6!3 f23 (f10 f11 (f12 f22)) f21 f20)"]
NESTED	unresolved-outer-bound-var		(or (not (>= (+ 1 (f8 f9 (?v4!0 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (f6 f7 (+ 1 (f8 f9 f20))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f22))) 0)) (= (f8 f9 (f6 f7 (+ 1 (f8 f9 (?v4!0 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (f6 f7 (+ 1 (f8 f9 f20))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f22))))) (+ 1 (f8 f9 (?v4!0 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (f6 f7 (+ 1 (f8 f9 f20))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f22)))))	["(+ 1 (f8 f9 (?v4!0 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (f6 f7 (+ 1 (f8 f9 f20))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f22)))"]
NESTED	unresolved-outer-bound-var		(or (>= (+ 1 (f8 f9 (?v4!0 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (f6 f7 (+ 1 (f8 f9 f20))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f22))) 0) (= (f8 f9 (f6 f7 (+ 1 (f8 f9 (?v4!0 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (f6 f7 (+ 1 (f8 f9 f20))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f22))))) 0))	["(+ 1 (f8 f9 (?v4!0 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (f6 f7 (+ 1 (f8 f9 f20))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f22)))"]
NESTED	unresolved-outer-bound-var		(or (= (f3 (f10 f11 (f12 f22)) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f20 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) f1) (not (>= (+ (f8 f9 f20) (* (- 1) (f8 f9 (?v4!0 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (f6 f7 (+ 1 (f8 f9 f20))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f22)))) 0)) (not (= (f3 (f10 f11 (f12 f22)) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (?v4!0 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (f6 f7 (+ 1 (f8 f9 f20))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f22) (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) f1)))	["(f10 f11 (f12 f22))", "(?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))", "(?v4!0 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (f6 f7 (+ 1 (f8 f9 f20))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f22)", "(?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))", "f20"]
NESTED	unresolved-outer-bound-var		(or (not (= (f3 (f10 f11 (f12 f22)) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f20 (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) f1)) (= (f18 (f19 f23 (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) (?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) f1))	["(?v6!3 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))"]
NESTED	unresolved-outer-bound-var		(or (not (= (f18 (f19 f21 (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) f1)) (forall ((?v6 S3)) (! (let (((f8 f9 f20) (f8 f9 f20))) (let (((+ 1 (f8 f9 f20)) (+ 1 (f8 f9 f20)))) (let (((f6 f7 (+ 1 (f8 f9 f20))) (f6 f7 (+ 1 (f8 f9 f20))))) (let (((f4 f5 f22) (f4 f5 f22))) (let (((?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))))) (let (((f19 f23 (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) (f19 f23 (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))))) (let (((f18 (f19 f23 (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) ?v6) (f18 (f19 f23 (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) ?v6))) (let (((= (f18 (f19 f23 (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) ?v6) f1) (= (f18 (f19 f23 (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) ?v6) f1))) (let (((?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))))) (let (((f10 f11 (f12 f22)) (f10 f11 (f12 f22)))) (let (((f3 (f10 f11 (f12 f22)) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f20 ?v6) (f3 (f10 f11 (f12 f22)) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f20 ?v6))) (or (not (= (f3 (f10 f11 (f12 f22)) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f20 ?v6) f1)) (= (f18 (f19 f23 (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) ?v6) f1))))))))))))) :pattern ((f3 (f10 f11 (f12 f22)) (?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20)))) f20 ?v6)) :pattern ((f18 (f19 f23 (?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))) ?v6)) :qid k!49)))	["(?v4!2 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))", "(?v5!1 f23 (f4 f5 f22) f21 (f6 f7 (+ 1 (f8 f9 f20))))"]
NEVER-MATCHED	missing-term	missing=['(+ 1 (f8 f9 f20))'] nested_product=False	(or (not (>= (+ 1 (f8 f9 f20)) 0)) (= (f8 f9 (f6 f7 (+ 1 (f8 f9 f20)))) (+ 1 (f8 f9 f20))))	["(+ 1 (f8 f9 f20))"]
NEVER-MATCHED	missing-term	missing=['(+ 1 (f8 f9 f20))'] nested_product=False	(or (>= (+ 1 (f8 f9 f20)) 0) (= (f8 f9 (f6 f7 (+ 1 (f8 f9 f20)))) 0))	["(+ 1 (f8 f9 f20))"]
