class	reason	detail	body	params
NESTED	unresolved-outer-bound-var		(or (= (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerFrame_) PeerGroupPlaceholder_) (= (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerRef_) localinv_) (BaseClass_ (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerFrame_))) (not (= (IsHeap (store2 Heap_0_ this exposeVersion_ temp0_0)) Smt.true)) (not (subtypes (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerRef_) inv_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerFrame_))) (not (or (not (= (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 inv_) (typeof_ ?p_!11))) (not (= (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 localinv_) (typeof_ ?p_!11))))))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "?p_!11"]
ADMITTED			(or (not (subtypes (select2 Heap_1_ this inv_) Cell)) (= (select2 Heap_1_ this inv_) Cell))	["(select2 Heap_1_ this inv_)"]
NESTED	unresolved-outer-bound-var		(or (= (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) ?p_!11) (= (select2 (store2 (store2 Heap_0_ this exposeVersion_ temp0_0) (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) Cell.Value stack0i_1) ?p_!11 localinv_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 localinv_)))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "(select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_)", "Cell.Value", "?p_!11", "localinv_", "stack0i_1"]
NESTED	unresolved-outer-bound-var		(or (= (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) ?p_!11) (= (select2 (store2 (store2 Heap_ this localinv_ System.Object) (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) exposeVersion_ temp0_0) ?p_!11 localinv_) (select2 (store2 Heap_ this localinv_ System.Object) ?p_!11 localinv_)))	["(store2 Heap_ this localinv_ System.Object)", "(select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_)", "exposeVersion_", "?p_!11", "localinv_", "temp0_0"]
NESTED	unresolved-outer-bound-var		(or (= (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) ?p_!11) (= (select2 (store2 Heap_ (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) localinv_ System.Object) ?p_!11 localinv_) (select2 Heap_ ?p_!11 localinv_)))	["Heap_", "(select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_)", "localinv_", "?p_!11", "localinv_", "System.Object"]
NESTED	unresolved-outer-bound-var		(or (= (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) ?p_!11) (= (select2 (store2 (store2 Heap_0_ this exposeVersion_ temp0_0) (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) Cell.Value stack0i_1) ?p_!11 inv_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 inv_)))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "(select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_)", "Cell.Value", "?p_!11", "inv_", "stack0i_1"]
NESTED	unresolved-outer-bound-var		(or (= (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) ?p_!11) (= (select2 (store2 (store2 Heap_ this localinv_ System.Object) (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) exposeVersion_ temp0_0) ?p_!11 inv_) (select2 (store2 Heap_ this localinv_ System.Object) ?p_!11 inv_)))	["(store2 Heap_ this localinv_ System.Object)", "(select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_)", "exposeVersion_", "?p_!11", "inv_", "temp0_0"]
NESTED	unresolved-outer-bound-var		(or (= (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) ?p_!11) (= (select2 (store2 Heap_ (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) localinv_ System.Object) ?p_!11 inv_) (select2 Heap_ ?p_!11 inv_)))	["Heap_", "(select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_)", "localinv_", "?p_!11", "inv_", "System.Object"]
NESTED	unresolved-outer-bound-var		(or (= (select2 Heap_ ?p_!11 ownerFrame_) PeerGroupPlaceholder_) (= (select2 Heap_ (select2 Heap_ ?p_!11 ownerRef_) localinv_) (BaseClass_ (select2 Heap_ ?p_!11 ownerFrame_))) (not (= (IsHeap Heap_) Smt.true)) (not (subtypes (select2 Heap_ (select2 Heap_ ?p_!11 ownerRef_) inv_) (select2 Heap_ ?p_!11 ownerFrame_))) (not (or (not (= (select2 Heap_ ?p_!11 inv_) (typeof_ ?p_!11))) (not (= (select2 Heap_ ?p_!11 localinv_) (typeof_ ?p_!11))))))	["Heap_", "?p_!11"]
NESTED	unresolved-outer-bound-var		(or (= (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerFrame_) PeerGroupPlaceholder_) (= (select2 (store2 Heap_1_ this Cell.Value stack0i_1) (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) localinv_) (BaseClass_ (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerFrame_))) (not (= (IsHeap (store2 Heap_1_ this Cell.Value stack0i_1)) Smt.true)) (not (subtypes (select2 (store2 Heap_1_ this Cell.Value stack0i_1) (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerRef_) inv_) (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 ownerFrame_))) (not (or (not (= (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 inv_) (typeof_ ?p_!11))) (not (= (select2 (store2 Heap_1_ this Cell.Value stack0i_1) ?p_!11 localinv_) (typeof_ ?p_!11))))))	["(store2 Heap_1_ this Cell.Value stack0i_1)", "?p_!11"]
