class	reason	detail	body	params
NESTED	unresolved-outer-bound-var		(or (= (select1 (select1 elems_235.13_9.342.17 tmp0_new_ImportDecl___231.33) ?i_62.31!27) (select1 (select1 elems tmp3_elements_235.23) ?i_62.31!27)) (>= (+ ?i_62.31!27 (* (- 1) length_235.13_235.13_9.360.44)) 0) (not (>= ?i_62.31!27 0)))	["?i_62.31!27"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=464816	(= (select1 (store1 (asElems elems) tmp0_new_ImportDecl___231.33 after_235.13_235.13_9.342.17) tmp0_new_ImportDecl___231.33) after_235.13_235.13_9.342.17)	["(asElems elems)", "tmp0_new_ImportDecl___231.33", "after_235.13_235.13_9.342.17"]
NESTED	unresolved-outer-bound-var		(or (= (arrayLength (select1 elements_61.39 this)) ?i_62.31!27) (= (select1 (store1 after_235.13_235.13_9.342.17 (arrayLength (select1 elements_61.39 this)) x_229.42) ?i_62.31!27) (select1 after_235.13_235.13_9.342.17 ?i_62.31!27)))	["after_235.13_235.13_9.342.17", "(arrayLength (select1 elements_61.39 this))", "?i_62.31!27", "x_229.42"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=464816	(= (select1 (store1 (select1 elems_1_ tmp5_elements_238.4) (arrayLength (select1 elements_61.39 this)) x_229.42) (arrayLength (select1 elements_61.39 this))) x_229.42)	["(select1 elems_1_ tmp5_elements_238.4)", "(arrayLength (select1 elements_61.39 this))", "x_229.42"]
MATCHED-REJECTED	rej_nocontext	core-dominant-rej=rej_nocontext n=464816	(= (select1 (store1 elems_235.13_9.342.17 (select1 elements_61.39_1_ this) (store1 (select1 elems_1_ tmp5_elements_238.4) tmp6_old_count_238.13 x_229.42)) (select1 elements_61.39_1_ this)) (store1 (select1 elems_1_ tmp5_elements_238.4) tmp6_old_count_238.13 x_229.42))	["elems_235.13_9.342.17", "(select1 elements_61.39_1_ this)", "(store1 (select1 elems_1_ tmp5_elements_238.4) tmp6_old_count_238.13 x_229.42)"]
NESTED	unresolved-outer-bound-var		(or (= this ?brokenObj!26) (= (select1 (store1 count_67.33 this (+ 1 tmp6_old_count_238.13)) ?brokenObj!26) (select1 count_67.33 ?brokenObj!26)))	["count_67.33", "this", "?brokenObj!26", "(+ 1 tmp6_old_count_238.13)"]
NESTED	unresolved-outer-bound-var		(or (= this ?brokenObj!26) (= (select1 (store1 (asField elements_61.39 (array T_javafe.ast.ImportDecl)) this (select1 elements_61.39_1_ this)) ?brokenObj!26) (select1 (asField elements_61.39 (array T_javafe.ast.ImportDecl)) ?brokenObj!26)))	["(asField elements_61.39 (array T_javafe.ast.ImportDecl))", "this", "?brokenObj!26", "(select1 elements_61.39_1_ this)"]
NESTED	unresolved-outer-bound-var		(or (= (select1 elements_61.39_1_ this) (select1 elements_61.39_1_ ?brokenObj!26)) (= (select1 (store1 (asElems elems) (select1 elements_61.39_1_ this) after_235.13_235.13_9.342.17) (select1 elements_61.39_1_ ?brokenObj!26)) (select1 (asElems elems) (select1 elements_61.39_1_ ?brokenObj!26))))	["(asElems elems)", "(select1 elements_61.39_1_ this)", "(select1 elements_61.39_1_ ?brokenObj!26)", "after_235.13_235.13_9.342.17"]
NESTED	unresolved-outer-bound-var		(or (= (select1 elements_61.39_1_ this) (select1 elements_61.39_1_ ?brokenObj!26)) (= (select1 (store1 elems_235.13_9.342.17 (select1 elements_61.39_1_ this) (store1 (select1 elems_1_ tmp5_elements_238.4) tmp6_old_count_238.13 x_229.42)) (select1 elements_61.39_1_ ?brokenObj!26)) (select1 elems_235.13_9.342.17 (select1 elements_61.39_1_ ?brokenObj!26))))	["elems_235.13_9.342.17", "(select1 elements_61.39_1_ this)", "(select1 elements_61.39_1_ ?brokenObj!26)", "(store1 (select1 elems_1_ tmp5_elements_238.4) tmp6_old_count_238.13 x_229.42)"]
NESTED	unresolved-outer-bound-var		(or (= this ?brokenObj_4_!29) (= (select1 (store1 (asField elements_61.39 (array T_javafe.ast.ImportDecl)) this (select1 elements_61.39_1_ this)) ?brokenObj_4_!29) (select1 (asField elements_61.39 (array T_javafe.ast.ImportDecl)) ?brokenObj_4_!29)))	["(asField elements_61.39 (array T_javafe.ast.ImportDecl))", "this", "?brokenObj_4_!29", "(select1 elements_61.39_1_ this)"]
