file	order	off_verdict	off_ms	on_verdict	on_ms
UFLIA/boogie/AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2	off-on	unknown	24127	unknown	24130
UFLIA/boogie/Cast_Cast.R_System.Object_System.Int32.smt2	on-off	unknown	24131	unknown	24131
UFLIA/boogie/Interval_Cell.Shift_System.Int32.smt2	off-on	unknown	24132	unknown	24130
UFLIA/grasshopper/instantiated/insertion_sort_postcondition_of_insertion_sort_63_1.smt2	on-off	unknown	24231	unknown	24432
UFLIA/simplify/javafe.ast.NewInstanceExpr.271.smt2	off-on	unknown	23228	unknown	22727
UFLIA/simplify/javafe.parser.TokenQueue.576.smt2	on-off	unknown	21527	unknown	21426
UFLIA/simplify2/front_end_suite/javafe.PrintSpec.012.smt2	off-on	unknown	24131	unknown	24232
UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	on-off	unsat	710	unsat	810
UFLIA/simplify2/front_end_suite/javafe.ast.MethodDecl.005.smt2	off-on	unknown	24132	unknown	24130
UFLIA/simplify2/front_end_suite/javafe.ast.ThrowStmt.004.smt2	on-off	unsat	708	unsat	708
UFLIA/simplify2/front_end_suite/javafe.filespace.ZipTree.005.smt2	off-on	unknown	24131	unknown	24233
UFLIA/simplify2/front_end_suite/javafe.reader.CachedReader.003.smt2	on-off	unknown	24128	unknown	24132
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.001.smt2	off-on	unknown	25131	unknown	25127
UFLIA/simplify2/small_suite/getRootInterface.smt2	on-off	unknown	25033	unknown	25034
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1282463.smt2	off-on	unknown	21128	unknown	21226
UFLIA/sledgehammer/Hoare/smtlib.581330.smt2	on-off	unknown	1710	unknown	1910
UFLIA/sledgehammer/QEpres/smtlib.1237382.smt2	off-on	unknown	20729	unknown	20729
UFNIA/2019-Preiner/combined/f2_rw343.smt2	on-off	unknown	24131	unknown	24433
UFNIA/2019-Preiner/full/f2_rw120.smt2	off-on	unknown	15322	unknown	15423
UFNIA/2019-Preiner/full/t3_rw493.smt2	on-off	unknown	23631	unknown	21328
UFNIA/2019-Preiner/partial/t3_rw514.smt2	off-on	unknown	24231	unknown	24233
UFNIA/2019-Preiner/qf/f2_rw163.smt2	on-off	unknown	9717	unknown	9818
UFNIA/2019-Zohar-ic/combined/int_check_bvule_bvor_ltr_no_inv.smt2	off-on	unknown	24131	unknown	24129
UFNIA/2019-Zohar-ic/partial/int_check_bvsle_bvudiv1_ltr_no_inv.smt2	on-off	unknown	24129	unknown	24130
UFNIA/2019-Zohar-ic/qf/int_check_eq_bvnot_ltr_no_inv.smt2	off-on	unknown	5714	unknown	5714
UFNIA/lahiri-cav09-storm-queries/usbsamp_bug_example_2_3_8_1.smt2	on-off	unknown	109	unknown	110
UFNIA/sledgehammer/Fundamental_Theorem_Algebra/z3.844134.smt2	off-on	unknown	15223	unknown	15424
UFNIA/sledgehammer/TwoSquares/z3.710000.smt2	on-off	unknown	24132	unknown	24132
UFNIA/spec_sharp/test14-DafnyAst.ssc.30.Microsoft.Dafny.ClassType.Boogie.ContractConsistencyCheck.ToString.smt2	off-on	unknown	25033	unknown	25033
UFNIA/spec_sharp/textbook-Sum.dll.6.C.TransformQuant_System.Int32.array_notnull.smt2	on-off	unknown	13622	unknown	13522
UFNIA/vcc-havoc/havoc-bench_036.1.AddElement.smt2	off-on	unknown	25032	unknown	25033
UFNIA/vcc-havoc/verisoft-baby.c.10.privileged.smt2	on-off	unknown	109	unknown	109
