file	A	B	A_ms	B_ms	first
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0.smt2	sat	sat	3412	3312	A
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__DivWithoutMinus.c__p22517_edge_closing_0.smt2	sat	sat	11418	11318	B
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__MirrorIntervSim.c__p24484_terminationG_0.smt2	unknown	unknown	24129	24129	A
QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Benghazi_nondet_true-termination.c__p26690_terminationG_0.smt2	sat	sat	10819	10818	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	unknown	unknown	24130	24228	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	unknown	11019	11019	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	unknown	unknown	11018	11119	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32069_safety_0.smt2	unknown	unknown	11420	11319	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	unknown	unknown	23730	23729	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	unknown	unknown	23728	23829	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5184_terminationG_0.smt2	unknown	unknown	11824	11823	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6315_safety_0.smt2	unknown	unknown	11019	11019	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	unknown	unknown	12220	12119	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8261_safety_0.smt2	sat	sat	16222	16023	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8992_safety_0.smt2	unknown	unknown	24230	24128	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__LessLeaves.jar-obl-10__p10018_edge_closing_0.smt2	sat	sat	19425	18525	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	unknown	24228	24528	A
