family	file	variables	clauses	batsat_verdict	batsat_ms	native_verdict	native_ms	cadical_verdict	cadical_ms	kissat_verdict	kissat_ms
p4dfa	compose.p2._bit8_na6_nr3_paired.cnf	159514	583192	sat	10675.197037	sat	450.339607	sat	1306.4637368079275	sat	9821.228379849344
p4dfa	compose.p3._bit8_na6_nr3_paired.cnf	1401163	5111101	unknown	20433.596127	sat	2902.334653	sat	8320.157102076337	unknown	20130.193452117965
p4dfa	compose.s2._bit8_na6_nr3_paired.cnf	106588	390967	unknown	20068.040438	unknown	20402.808111	sat	13330.435564043	sat	4610.702280886471
p4dfa	compose.s2._bit8_na6_nr4_paired.cnf	143357	523901	unknown	20029.806547	unknown	20092.880629	sat	16852.905147941783	sat	13920.833518961444
p4dfa	compose.s3._bit8_na6_nr3_paired.cnf	473949	1729550	unknown	20094.218497	unknown	20471.174027	unknown	20147.583273937926	unknown	20124.538640026003
p4dfa	compose.s3._bit8_na6_nr4_paired.cnf	633175	2308878	unknown	20110.744283	unknown	22233.173447999998	unknown	20171.012870967388	unknown	20121.268942952156
p4dfa	compose.s4._bit8_na6_nr3_paired.cnf	1876101	6845492	unknown	20216.753223	unknown	25732.708737	unknown	20299.67914102599	unknown	20123.306416207924
p4dfa	compose.s4._bit8_na6_nr4_paired.cnf	2506026	9137434	unknown	20776.173501999998	unknown	38191.329837	unknown	20387.6078450121	unknown	20123.547047842294
p4dfa	mobiledevice_bit8_na1_nr1_twocond.cnf	4120	17456	sat	1728.873173	sat	3426.3522970000004	sat	312.84113391302526	sat	603.0118712224066
p4dfa	mobiledevice_bit8_na6_nr3_paired.cnf	58380	217322	unknown	20018.888258	sat	17943.057461	sat	4329.342073993757	sat	3808.747251983732
p4dfa	mobiledevice_bit8_na6_nr3_twocond.cnf	31482	118228	sat	4021.9749790000005	sat	1336.665025	sat	2226.4773179776967	sat	3718.5560499783605
p4dfa	simple_bit8_na1_nr1_twocond.cnf	1424	5651	sat	1.111825	sat	1.0314569999999998	sat	111.37748695909977	sat	104.57672388292849
p4dfa	string1x16.1._bit8_na6_nr3_paired.cnf	178363	651625	unknown	20049.532172	unknown	20491.416321	unknown	20142.75834010914	unknown	20119.24562091008
p4dfa	string1x16.10._bit8_na6_nr3_paired.cnf	178363	651625	unknown	20050.516414	unknown	20518.311579999998	unknown	20191.672169836238	unknown	20124.340415000916
p4dfa	string1x16.2._bit8_na6_nr3_paired.cnf	178363	651625	unknown	20067.729777	unknown	20441.821295	unknown	20139.21997300349	unknown	20123.03999811411
p4dfa	string1x16.3._bit8_na6_nr3_paired.cnf	143662	525457	unknown	20072.101781	unknown	20875.947223	unknown	20123.87958401814	unknown	20155.27290198952
p4dfa	string1x16.4._bit8_na6_nr3_paired.cnf	108802	398971	unknown	20035.585962999998	unknown	20652.422174000003	unknown	20136.71883288771	unknown	20134.454194922
p4dfa	string1x16.5._bit8_na6_nr3_paired.cnf	143662	525457	unknown	20074.94364	unknown	20808.778042	unknown	20159.79900606908	unknown	20155.789135955274
p4dfa	string1x16.6._bit8_na6_nr3_paired.cnf	178363	651625	unknown	20061.585358999997	unknown	20319.440182000002	unknown	20173.525099875405	unknown	20133.080597035587
p4dfa	string1x16.7._bit8_na6_nr3_paired.cnf	143662	525457	unknown	20028.545858	unknown	22122.177132	unknown	20157.629687106237	unknown	20124.286130070686
p4dfa	string1x16.8._bit8_na6_nr3_paired.cnf	143662	525457	unknown	20050.71351	unknown	20407.846272	unknown	20130.013946909457	unknown	20122.210477944463
p4dfa	string1x16.9._bit8_na6_nr3_paired.cnf	143662	525457	unknown	20022.512055	unknown	20116.441371	unknown	20140.913940034807	unknown	20120.666324160993
p4dfa	string1x8.1._bit8_na6_nr3_paired.cnf	78870	290741	unknown	20026.259637	unknown	20295.689408000002	unknown	20144.703790079802	unknown	20120.329387951642
p4dfa	string1x8.10._bit8_na6_nr3_paired.cnf	78870	290741	unknown	20026.180099	unknown	20504.91628	unknown	20150.97266389057	unknown	20120.395017089322
p4dfa	string1x8.2._bit8_na6_nr3_paired.cnf	98696	362295	unknown	20031.936972	unknown	20525.800044	unknown	20194.954108912498	unknown	20123.70495405048
p4dfa	string1x8.3._bit8_na6_nr3_paired.cnf	58826	218751	unknown	20028.470575	unknown	20301.380166000003	sat	19581.152623984963	sat	13220.722190104425
p4dfa	string1x8.4._bit8_na6_nr3_paired.cnf	40548	150293	unknown	20013.867806000002	unknown	20095.488428	unknown	20174.769218079746	unknown	20150.58736805804
p4dfa	string1x8.5._bit8_na6_nr3_paired.cnf	78870	290741	unknown	20012.469179	unknown	20030.59549	unknown	20159.02307187207	unknown	20160.978050203994
p4dfa	string1x8.6._bit8_na6_nr3_paired.cnf	58826	218751	unknown	20022.763518	unknown	20308.874172	unknown	20178.815650055185	sat	9314.93371585384
p4dfa	string1x8.7._bit8_na6_nr3_paired.cnf	40548	150293	unknown	20020.528051	unknown	20094.91594	unknown	20170.610464876518	sat	16817.624943098053
p4dfa	string1x8.8._bit8_na6_nr3_paired.cnf	78870	290741	unknown	20058.00965	unknown	20299.15841	unknown	20135.515633039176	unknown	20118.83561499417
p4dfa	string1x8.9._bit8_na6_nr3_paired.cnf	78870	290741	unknown	20038.247205	unknown	20076.630095	unknown	20151.530497940257	unknown	20121.010908856988
p4dfa	string2x16.1._bit8_na6_nr3_paired.cnf	516371	1884144	unknown	20100.194784	unknown	20883.285878	unknown	20176.070241024718	unknown	20119.62962918915
p4dfa	string2x16.10._bit8_na6_nr3_paired.cnf	532052	1941411	unknown	20127.698198000002	unknown	21626.108301	unknown	20192.68029811792	unknown	20120.187401073053
p4dfa	string2x16.2._bit8_na6_nr3_paired.cnf	467336	1705485	unknown	20061.539939	unknown	21352.309623	unknown	20155.159575864673	unknown	20121.97198206559
p4dfa	string2x16.3._bit8_na6_nr3_paired.cnf	596752	2177305	unknown	20082.357239	unknown	20500.919131	unknown	20163.776027970016	unknown	20122.376163024455
p4dfa	string2x16.4._bit8_na6_nr3_paired.cnf	273064	997459	unknown	20057.210354	unknown	21730.955781999997	unknown	20146.17524598725	unknown	20121.41715316102
p4dfa	string2x16.5._bit8_na6_nr3_paired.cnf	596752	2177305	unknown	20175.094917	unknown	20493.532116000002	unknown	20142.28135999292	unknown	20121.51749082841
p4dfa	string2x16.6._bit8_na6_nr3_paired.cnf	337852	1233529	unknown	20073.473473	unknown	21080.065702	unknown	20123.347857035697	unknown	20119.230119977146
p4dfa	string2x16.7._bit8_na6_nr3_paired.cnf	273064	997459	unknown	20037.407704	unknown	20300.378384	unknown	20146.690231049433	unknown	20121.130128158256
p4dfa	string2x16.8._bit8_na6_nr3_paired.cnf	596752	2177305	unknown	20171.315392	unknown	20446.078128	unknown	20130.039640003815	unknown	20120.58967491612
p4dfa	string2x16.9._bit8_na6_nr3_paired.cnf	596752	2177305	unknown	20195.433257	unknown	20666.838061	unknown	20141.4811629802	unknown	20120.603025890887
p4dfa	string2x8.1._bit8_na6_nr3_paired.cnf	233710	852996	unknown	20066.007142	unknown	20632.35764	unknown	20138.483254937455	unknown	20120.19129516557
p4dfa	string2x8.10._bit8_na6_nr3_paired.cnf	212846	777027	unknown	20099.812221	unknown	20181.535324999997	unknown	20254.7187700402	unknown	20121.64925597608
p4dfa	string2x8.2._bit8_na6_nr3_paired.cnf	212846	777027	unknown	20021.507095	unknown	20050.613202	unknown	20188.476384151727	unknown	20124.45838819258
p4dfa	string2x8.3._bit8_na6_nr3_paired.cnf	281944	1028755	unknown	20023.938288	unknown	20145.298456	unknown	20165.88548780419	unknown	20121.178821194917
p4dfa	string2x8.4._bit8_na6_nr3_paired.cnf	143530	524863	unknown	20013.893895999998	unknown	20171.366016	unknown	20171.073394129053	unknown	20132.24909082055
p4dfa	string2x8.5._bit8_na6_nr3_paired.cnf	212846	777027	unknown	20019.459627	unknown	20439.557835	unknown	20145.84437897429	unknown	20140.650410205126
p4dfa	string2x8.6._bit8_na6_nr3_paired.cnf	178231	651031	unknown	20076.22482	unknown	20680.122914000003	unknown	20144.254801096395	unknown	20123.626883141696
p4dfa	string2x8.7._bit8_na6_nr3_paired.cnf	143530	524863	unknown	20018.510238000003	unknown	20358.773915	unknown	20150.628512958065	unknown	20124.796707881615
p4dfa	string2x8.8._bit8_na6_nr3_paired.cnf	212846	777027	unknown	20036.824509	unknown	20693.367663	unknown	20149.58150102757	unknown	20168.309322791174
p4dfa	string2x8.9._bit8_na6_nr3_paired.cnf	212846	777027	unknown	20032.792997	unknown	20589.181979999998	unknown	20150.754587957636	unknown	20148.513400927186
p4dfa	string4x16.1._bit16_na6_nr3_paired.cnf	425968	1554409	unknown	20087.575182999997	unknown	20755.159928	unknown	20174.35047402978	unknown	20123.75262589194
p4dfa	string4x16.1._bit16_na6_nr4_paired.cnf	2677491	9833759	unknown	20739.503826	unknown	21386.332197000003	unknown	20358.947335975245	unknown	20127.835490973666
p4dfa	string4x16.1._bit8_na6_nr4_pairedtwobranch.cnf	1323705	4830779	unknown	20267.954823	unknown	25906.950446	unknown	20392.89493393153	unknown	20122.533665969968
