file	A	A_ms	A_rc	B	B_ms	B_rc	first
UFLIA/boogie/AdditiveMethods_OwnedResults.Static1.smt2	unknown	24237	0	unknown	24236	0	A
AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0034.fof.smt2	unknown	24039	0	unknown	24136	0	B
UFDTLIRA/20200306-Kanig/spark2014bench/JC17-017__subtype__p.adb_33_37_overflow_check___00.smt2	unknown	111	0	unknown	109	0	A
UFLIA/boogie/AdvancedTypes_AnotherSubClass..ctor-orderStrength_1.smt2	unknown	24134	0	unknown	24135	0	B
AUFLIRA/nasa/fol_simplify/gauss_init_0009.fof.smt2	unsat	109	0	unsat	108	0	A
UFDTLIRA/20200306-Kanig/spark2014bench/K506-012__old__old.ads_10_20_postcondition___00.smt2	unsat	110	0	unsat	108	0	B
UFLIA/boogie/AndNumbers_T.EnumerableCount_System.Collections.Generic.IEnumerable_1...type.parameter.T-level_0.smt2	unknown	25138	0	unknown	25037	0	A
AUFLIRA/nasa/fol_simplify/gauss_init_0210.fof.smt2	unsat	1011	0	unsat	1008	0	B
UFDTLIRA/20200306-Kanig/spark2014bench/K518-029__call_actuals__call_actuals.adb_38_11_range_check___01.smt2	unknown	309	0	unknown	209	0	A
UFLIA/boogie/BClient_Client.R_MyClass_notnull_System.Boolean.smt2	unknown	25039	0	unknown	25135	0	B
AUFLIRA/nasa/fol_simplify/quaternion_ds1_init_0008.fof.smt2	unsat	210	0	unsat	209	0	A
UFDTLIRA/20200306-Kanig/spark2014bench/K518-029__call_actuals__call_actuals.adb_41_11_range_check___02.smt2	unsat	111	0	unsat	109	0	B
UFLIA/boogie/B_Q1-noinfer.smt2	unsat	111	0	unsat	108	0	A
AUFLIRA/nasa/fol_simplify/quaternion_ds1_init_0068.fof.smt2	unsat	411	0	unsat	409	0	B
UFDTLIRA/20200306-Kanig/spark2014bench/K518-029__func_return__func_return.adb_27_14_range_check___00.smt2	unknown	111	0	unknown	110	0	A
UFLIA/boogie/Capture_Capture.Caller2_System.Object_notnull.smt2	unknown	24237	0	unknown	24235	0	B
AUFLIRA/nasa/fol_simplify/quaternion_ds1_inuse_0007.fof.smt2	unsat	111	0	unsat	109	0	A
UFDTLIRA/20200306-Kanig/spark2014bench/K519-031__subarray__subar.adb_57_7_dead_code___00.smt2	unknown	110	0	unknown	108	0	B
UFLIA/boogie/DoWhileGood_Test..ctor.smt2	unknown	24237	0	unknown	25135	0	A
AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0394.fof.smt2	unsat	111	0	unsat	209	0	B
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_107_55_precondition___00.smt2	unsat	211	0	unsat	208	0	A
UFLIA/boogie/DynamicTypes_DynamicTypes.M.smt2	unsat	5517	0	unsat	5614	0	B
AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0455.fof.smt2	unsat	410	0	unsat	408	0	A
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_15_13_precondition___00.smt2	unknown	8520	0	unknown	8216	0	B
UFLIA/boogie/LocalExpose_D.M1.smt2	unknown	24136	0	unknown	24135	0	A
AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0497.fof.smt2	unsat	410	0	unsat	409	0	B
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_50_40_precondition___00.smt2	unsat	110	0	unsat	109	0	A
UFLIA/boogie/ModifiesClauses_F..ctor.smt2	unknown	24236	0	unknown	24235	0	B
AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0589.fof.smt2	unsat	411	0	unsat	410	0	A
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_62_14_postcondition___00.smt2	unknown	10222	0	unknown	10019	0	B
