id	crate	file	line	test	generator	iterations	box	property	counterexample_class	concrete_instance	reachable	reason	method	notes	disposition
R001	axeyum-ir	crates/axeyum-ir/src/rational.rs	1074	gcd_matches_the_plain_u128_euclid	lcg	20000 random pairs + 14 fixed	a,b = magnitude(): bits = LCG % 128 (0..=127), top bits of a 128-bit draw; shared factor g = 2^(LCG % 40) on (a>>48, b>>48)	Stein gcd == Euclid gcd	an operand with bit 127 set (top bit) paired with a random operand	gcd(2^127 + 3, 2^127 + 1)	yes	the random box excludes it (bits = LCG % 128 is at most 127, so a random operand never has bit 127 set), but the fixed list names (u128::MAX, 2^127-1), (2^127, 3), (1<<127, 1<<127)	read	zero operands ARE reached randomly (bits == 0 with probability 1/128, about 156 of 20000). The random half never emits a top-bit operand; coverage of that class rests on the 14 fixed pairs	n/a
R002	axeyum-ir	crates/axeyum-ir/src/rational.rs	1122	integer_fast_paths_match_the_general_body	lcg	40000 pairs x 3 ops + 6 named boundary pairs	i%4: (i64,i64) | (full i128, full i128) | (i128::MIN, 0..8) | (i128::MAX, -(0..8))	den==1 fast paths of checked_add/sub/mul are bit-identical to the general body INCLUDING which inputs decline	|lhs*rhs| == 2^127 exactly (fits i128 only as the negative extreme)	(i128::MIN/2, 2) and (i128::MIN, 1)	yes	the test names these six pairs explicitly because the random draw reaches them with probability ~0; declines > 1000 and successes > 1000 are asserted	read		n/a
R003	axeyum-ir	crates/axeyum-ir/src/rational.rs	1526	every_wide_operation_agrees_with_bigrational	lcg	2000 pairs	xorshift64*; num = (u64 - 2^63+1) << (rand % 127) wrapping in i128; den = (u64 draw) | 1; one in three operands squared through wide_mul	wide_add/sub/mul/neg/cmp/div/recip == BigRational; a result that fits i128 is NOT is_big; checked_* agrees with wide_*	a promoted (big) operand whose add/sub result fits i128 (cancellation), which is the only way the canonical-representation assertion on `sum` can fire	a = 2^200/3 (squared big), b = -a + 1	no	cancellation needs b == -a + small; the two operands are independent draws (a == -b measured 0/2000), so a big operand's add/sub result is big unless an operand is zero: measured promoted-operand add results fitting i128 = 0, sub = 0 (mul = 3 and div = 5, all via a zero operand). The `!sum.is_big()` assertion therefore runs 0 times over the configured run	ran hits=0/2000 seed=0x5EED1702	the fixed example at line ~1478 (huge.wide_sub(huge) is zero and !is_big) covers ONE instance; i128::MIN numerators are reached (9/4000 draws); zero operands 12/2000; b.is_zero() guards mean wide_div by zero is never asserted	structural-open
R004	axeyum-ir	crates/axeyum-ir/src/real_algebraic.rs	807	sign_at_two_roots_straddling_alpha_family	sweep	d in 2..=12, n1 < n2 in (d, 2d) filtered by n1^2 < 2d^2 < n2^2 (asserted >= 20 members)	d in 2..=12; n1,n2 in d+1..2d-1; q = (d x - n1)(d x - n2)	sign_at(q) == Neg and sign_at(-q) == Pos at sqrt2	two rational roots strictly inside the isolating bracket straddling alpha	d=5 n1=6 n2=8 -> 25x^2 - 70x + 48	yes	the box IS the class; the exact filter n1^2 < 2d^2 < n2^2 keeps only straddling pairs and the test asserts the population is >= 20	read	roots are rational; a defect needing an IRRATIONAL root inside the bracket (e.g. q = x^2 - 2 + epsilon with an algebraic root near alpha) is not in this family	n/a
R005	axeyum-ir	crates/axeyum-ir/src/real_algebraic.rs	865	sign_at_matches_float_oracle	sweep	11*11*7 = 847	c0 in -5..=5; c1 in -5..=5; c2 in -3..=3; alpha = sqrt2 with bracket (1,2)	sign_at(q) == sign of float q(sqrt2) (skipping |q| < 1e-9)	a quadratic positive at both bracket endpoints and negative at alpha (two rational roots strictly inside (1,2) straddling sqrt2)	q = 25x^2 - 70x + 48 = (5x-6)(5x-8)	no	ADR-2134: q(1)>0, q(2)>0, q(sqrt2)<0 needs c2>0 (a concave parabola cannot dip below its endpoints) with both roots in (1,2), so the vertex -c1/(2c2) lies in (1,2), i.e. 2c2 < -c1 < 4c2; with |c1| <= 5 that leaves (c2,c1) = (1,-3) or (2,-5); (1,-3) needs q(1)=c0-2>0 and discriminant 9-4c0>0, i.e. c0>=3 and c0<=2; (2,-5) needs c0>=4 and 25-8c0>0, i.e. c0<=3: no integer solution exists in the box; the smallest instance is d=5 (c2=25, c1=-70, c0=48)	derived	the family test sign_at_two_roots_straddling_alpha_family (line 807) now covers this class; keep this row as the ADR-2134 record	already-covered (ADR-2134 family test)
R006	axeyum-ir	crates/axeyum-ir/src/wide.rs	541	ops_match_u128_reference_over_widths	lcg	200 per width x 12 widths = 2400	width in [1,2,7,8,31,32,63,64,65,100,127,128]; a,b = LCG u128 masked to width; sh in [0,1,7,63,64,65,w-1,w]	WideUint add/sub/mul/neg/not/and/or/xor/ult/ule/shl/lshr == masked u128 reference	width-1 and width-2 operand pairs other than the single pair the LCG parity lock emits (e.g. w=1 a=1 b=1: ult, carry-out, all-ones neg)	w=1 a=1 b=1 (also w=2 a=3 b=1)	no	the 128-bit next() advances the MMIX LCG twice per call, so bit k of the sampled state has period 2^k; masked to 1 bit every draw is 0 and to 2 bits every draw is the same pair: measured all 200 pairs at w=1 are (0,0) and all 200 at w=2 are (2,0); w=7 sees 32 distinct pairs and w=8 64 of 200 draws. Separately, for w>64 the neg/sub carry into limb 1 needs a low limb of 0 (probability 2^-64): 0 of 4800 operands	ran hits=0/200 seed=0x123456789abcdef0	add carry across limb 0->1 IS reached at w>=65 (93-104 of 200 pairs). The sh list includes w so overshift is reached. The width-1/2 rows are effectively one fixed example each	fixed-seed-class
R007	axeyum-ir	crates/axeyum-ir/src/wide.rs	607	extended_ops_match_u128_reference	lcg	300 per width x 11 widths = 3300	width in [1,2,8,13,32,63,64,65,100,127,128]; a,b = LCG u128 masked; sh in [0,1,7,w/2,w-1,w]	udiv/urem/sdiv/srem/smod/slt/sle/uge/clz/ashr == SMT-LIB-total i128/u128 reference	INT_MIN / -1 (signed overflow wrap of sdiv, and srem/smod at the same pair)	w=8 a=0x80 b=0xff (or w=1 a=1 b=1, w=2 a=2 b=3)	no	needs a == 2^(w-1) and b == 2^w-1 exactly; uniform draws give probability 2^-2w per pair, and at w=1/w=2 the LCG parity lock (see ops_match row) emits only (0,0) and (2,0): measured 0 hits at every width. Divisor zero: 300/300 at w=1 and w=2 (but with the dividend fixed at 0 resp. 2), 4/300 at w=8, 0 at every width >= 13	ran hits=0/3300 seed=0x0f1e2d3c4b5a6978	crates/axeyum-ir/tests/ir.rs exhaustive_signed_arithmetic reaches INT_MIN/-1 on the EVALUATOR at w<=8, but no test reaches it on WideUint::sdiv at any width; the multi-limb path (w>64) never sees a zero divisor either	fixed-seed-class
R008	axeyum-ir	crates/axeyum-ir/src/wide.rs	672	structural_ops_match_u128_reference	lcg	200 per width x 7 widths = 1400	width in [4,8,16,32,60,64,96]; lo,hi random in width; zero/sign ext by random < 128-w (w<=64 only); concat second width random	extract/zero_ext/sign_ext/concat == u128 reference	full-width extract (hi = w-1, lo = 0) and an extension or concat landing exactly on 128 bits	w=64 extract(63,0); w=64 sign_ext(64) -> 128 bits	no	hi = lo + rand % (w-lo) makes (lo=0, hi=w-1) probability 1/(w*w) per draw: measured 0 full-width extracts at every width; by = rand % (128-w) can never equal 128-w so an extension to exactly 128 bits is excluded by construction, and concat requires width+bw <= 128 with bw = 1 + rand % (128-w) so the 128-bit concat needs bw = 128-w exactly: measured 0	ran hits=0/1400 seed=0xa1b2c3d4e5f60718	single-bit extracts (lo == hi) reached only at w=96 (8 of 200); sign_ext of a NEGATIVE value is reached (about half of draws)	fixed-seed-class
R009	axeyum-ir	crates/axeyum-ir/src/wide.rs	711	lsb_bits_round_trip_and_match_u128	lcg	50 per width x 9 widths = 450	width in [1,8,64,65,100,128,129,200,256]; bits from two LCG u128 draws	from_lsb_bits/to_lsb_bits/bit round-trip; to_u128 matches the assembled value for w<=128	top bit of a partial top limb set (e.g. bit 64 at w=65, bit 128 at w=129) so masking must keep it	w=65 with bit 64 = 1	yes	each bit is an independent LCG bit at a high bit position (bit 64 of the draw for i=64, bit 0 of the hi draw for i=128); probability 1/2 per draw, 50 draws per width	derived	all-zero and all-one vectors appear only at w=1 (all 50 draws are zero there: the LCG parity lock again)	n/a
R010	axeyum-ir	crates/axeyum-ir/src/wide.rs	747	wide_beyond_u128_algebraic_identities	lcg	50 per width x 4 widths = 200	width in [129,164,200,256]; a = u128 draw shl (rand % w); b = u128 draw; k = 1 + rand % (w-1)	algebraic laws (a+0, a*1, comm, a-a, a+(-a), a^a, not not, shl/lshr mask) hold above 128 bits	a with nonzero bits in limb 2+ (bits >= 128) so multi-limb carries and shifts across 3+ limbs are exercised	w=200 a = draw << 100	yes	a = draw << (rand % w) has bits >= 128 whenever the shift exceeds 128 - bitlength(draw); measured 32/50 at w=129, 50/50 at w=164/200/256; k >= 128 measured 16-29 of 50 for w >= 164	ran hits=32/50 seed=0xdeadbeefcafebabe	b is always < 2^128 (never shifted), so b*a only exercises a wide multiplicand on one side; no u128 reference exists here by design	n/a
