file	base	base_ms	arm	arm_ms	first
K330-014__loop_entry__for_loops.adb_29_33_loop_invariant_preserv___00.smt2	unsat	109936224	unsat	110819866	arm
K627-010__stable_marriage__stable_marriage.adb_178_24_range_check___00.smt2	unsat	110610008	unsat	111228410	base
K627-010__stable_marriage__stable_marriage.adb_74_13_loop_invariant_init___00.smt2	unsat	-1610585890988924612	unsat	111043318	arm
KA20-075__constant__const.adb_32_22_assert___00.smt2	unsat	312217732	unsat	311172112	base
L503-012__aggregate__r.adb_31_51_index_check___00.smt2	unsat	111063235	unsat	111085507	arm
LB28-004__loop_variant__p.adb_87_66_index_check___00.smt2	unknown	24127554686	unknown	24028511019	base
M214-008__flow_declarative_parts__test.adb_140_9_length_check___00.smt2	unsat	2612892399	unsat	2613317153	arm
M322-040__loopinv__max.adb_23_53_index_check___00.smt2	unsat	112278799	unsat	112074622	base
M426-006__flow_bug_nested_subprogram_pragmas__t3q5.ads_12_51_index_check___00.smt2	unsat	113061063	unsat	112719222	arm
M611-052__discr__list.adb_22_73_precondition___00.smt2	unsat	211362220	unsat	211814455	base
M806-034__array_logical_op__array_logical_ops.adb_26_60_index_check___00.smt2	unsat	411674092	unsat	409900548	arm
M806-034__array_logical_op__array_logical_ops.adb_74_35_range_check___00.smt2	unknown	24726447853	unknown	24726510919	base
M830-004__checks__do_checks.adb_282_22_length_check___00.smt2	unsat	112439375	unsat	111757346	arm
M830-004__checks__do_checks.adb_403_22_discriminant_check___00.smt2	unknown	24230404451	unknown	24230355499	base
MC06-031__dynamic_discrete__dynamic_ranges.adb_71_10_precondition___00.smt2	unsat	110510695	unsat	110711476	arm
N120-055__perm__sort.adb_51_13_precondition___00.smt2	unsat	110716945	unsat	111759560	base
N224-024__loop_frame__frame.ads_15_14_postcondition___00.smt2	unknown	23824520056	unknown	23725762006	arm
N228-005__update_unconstr_array__update_checks_1.ads_27_19_postcondition___00.smt2	unknown	24130215428	unknown	24028318944	base
N317-015__inlining__array_arith.adb_29_19_array_arith.adb_33_15_overflow_check___00.smt2	unsat	112452459	unsat	110859108	arm
N513-017__slice__sorters.adb_48_23_index_check___00.smt2	unsat	113300284	unsat	-1610586116887415397	base
