file	datatype	depth	cyclic	has_dt_field	today_exact	today_w1	w1_sort	lever_converts
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	tuple0	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	us_type_of_heap__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	int__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	bool__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	us_fixed__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	real__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	us_private__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	integer__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	natural__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	positive__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	data__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	tdata_arrayD1__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	map__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	us_t	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	tdata_arrayB__ref	1	0	1	0	0	NONE	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	data_array__ref	1	0	1	0	0	NONE	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	us_split_fields	1	0	1	0	0	NONE	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	us_split_fields__ref	2	0	1	0	0	NONE	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	us_rep	2	0	1	0	0	NONE	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	buffer__ref	3	0	1	0	0	NONE	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	tuple0	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	us_type_of_heap__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	int__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	bool__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	us_fixed__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	real__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	us_private__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	integer__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	natural__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	positive__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	map__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	us_t	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	array_of_positives__ref	1	0	1	0	0	NONE	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2	tuple0	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2	us_type_of_heap__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2	int__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2	bool__ref	0	0	0	1	0	NONE	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2	us_fixed__ref	0	0	0	1	0	NONE	0
