file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	dump_rows	giveup
UFNIA/2019-Preiner/combined/f2_rw343.smt2	unknown	0	24231	17	none	q:egraph	fd:bounded-completeness-unsat	22534	24118			2503	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFNIA/2019-Preiner/full/t3_rw189.smt2	unknown	0	15321	19	none	q:mbqi	fd:bounded-completeness-unsat	8757	15294			28	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
UFNIA/2019-Preiner/partial/t3_rw514.smt2	unknown	0	24230	17	none	q:egraph	fd:bounded-completeness-unsat	22598	24104			1901	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFNIA/2019-Zohar-ic/combined/int_check_bvsle_bvashr0_rtl.smt2	unknown	0	24328	17	none	q:egraph	fd:bounded-completeness-unsat	22700	24277			266	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFNIA/2019-Zohar-ic/partial/int_check_bvsle_bvudiv1_ltr_no_inv.smt2	unknown	0	24126	17	none	q:egraph	fd:bounded-completeness-unsat	22392	24022			464	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFNIA/lahiri-cav09-storm-queries/mqueue_example_2_2_2_4.smt2	unknown	0	25032	5	none	q:ground-subset	q:uf-fmf-probe	2519	3579	q:uf-fmf-probe	21421	0	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFNIA/sledgehammer/Fundamental_Theorem_Algebra/z3.844134.smt2	unknown	0	14723	20	none	q:egraph	fd:bounded-completeness-unsat	7503	14630			24174	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 4 rounds (no further instance to admit; more rounds cannot help)
UFNIA/spec_sharp/specsharp-BoundedStack.3.BoundedStack..ctor_System.Int32.smt2	unknown	0	23932	19	none	q:mbqi	fd:bounded-completeness-unsat	21691	23820			7814	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
UFNIA/spec_sharp/textbook-Sum.dll.6.C.TransformQuant_System.Int32.array_notnull.smt2	unknown	0	13120	19	none	q:mbqi	fd:bounded-completeness-unsat	11304	13056			7221	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
UFNIA/vcc-havoc/havoc-bench_sum.1.bar.smt2	unknown	0	25133	5	none	q:forall-exists-witness	q:uf-fmf-probe	3	6	q:uf-fmf-probe	24993	0	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
