file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_NIA/20170427-VeryMax/ITS/From_T2__disj_nightmare.t2__p18944_edge_closing_0.smt2	sat	11520	0	sat	809	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	25131	0	unknown	25135	0	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2	unknown	24235	0	unknown	24234	0	A	unsat
QF_NIA/AProVE/aproveSMT6025886977398171379.smt2	sat	609	0	sat	108	0	B	sat
QF_NIA/20170427-VeryMax/SAT14/1738.smt2	unknown	24234	0	unknown	24230	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p20015_safety_0.smt2	sat	14123	0	sat	3311	0	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31933_safety_0.smt2	unknown	24134	0	unknown	24135	0	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6315_safety_0.smt2	unknown	10921	0	unknown	10919	0	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__RandomHard.jar-obl-10__p11834_safety_0.smt2	sat	11821	0	sat	1209	0	A	sat
QF_NIA/calypto/problem-002617.cvc.1.smt2	sat	4213	0	sat	109	0	B	sat
QF_NIA/20170427-VeryMax/SAT14/571.smt2	sat	8617	0	sat	4311	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p11698_safety_0.smt2	unknown	24035	0	unknown	24135	0	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.fixed.t2_fixed__terminationS_36_0.smt2	unknown	24234	0	unknown	25135	0	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8261_safety_0.smt2	sat	14624	0	sat	3712	0	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-accepted.t2__p16321_terminationG_0.smt2	unknown	9519	0	unknown	7415	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p29986_safety_0.smt2	unknown	24132	0	unknown	24126	0	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8434_safety_0.smt2	sat	13122	0	sat	2410	0	A	sat
