fact_id	route	curation	language	subject	n_evidence	n_checkers	checker_fanout_min	checker_fanout_max	kernel_theorem	per_theorem_footprint	env_footprint	circularity	semantic_falsification	mutation_control	independent_replay	coverage_bearing_checker	protection_count	exact_statement	subject_guessed	coverage_by_guess_only	checkers_multi	checkers_name_producer
F:acc-inv	kernel-lean	generated-unreviewed	lean4	Acc.inv	2	2	1	8	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:alternating-binomial-row-sum-zero	cas-certificate	-	cas-term	-	2	2	5	9	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:apery-numbers-recurrence	cas-certificate	-	cas-term	-	2	2	1	9	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:barber-no-such-barber	smt-clausal	-	smtlib2	-	1	1	1	1	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	yes
F:bcnf-decomposition-lossless-not-dependency-preserving	search-certificate	-	smtlib2	-	3	3	1	4	no	no	no	no	yes	yes	no	no	2	yes	-	no	yes	no
F:binomial-row-sum-two-power	cas-certificate	-	cas-term	-	2	2	5	9	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:bool-and-comm	imported-kernel-lean	-	lean4	-	2	2	1	1	no	yes	no	no	no	no	yes	no	2	yes	Bool.and_comm	no	yes	no
F:cas-difference-of-squares-free-x-kernel-checked	cas-certificate	-	cas-term	-	2	2	1	1	no	no	no	no	no	no	no	no	0	yes	-	no	yes	no
F:cas-evt-endpoint-exclusion-cubic-kernel-checked	cas-certificate	-	cas-term	-	2	2	1	1	no	no	no	no	no	no	no	no	0	yes	-	no	yes	no
F:cas-extremum-deriv-sign-bracket-kernel-checked	cas-certificate	-	cas-term	-	2	2	1	1	no	no	no	no	no	no	no	no	0	yes	-	no	yes	no
F:cas-extremum-irrational-argmax	cas-certificate	-	cas-term	-	1	1	1	1	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:cas-ivt-cbrt2-in-1-2	cas-certificate	-	cas-term	-	1	1	1	1	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:cas-ivt-degree4-sign-bracket-kernel-checked-cost-curve	cas-certificate	-	cas-term	-	2	2	1	1	no	no	no	no	no	no	no	no	0	yes	-	no	yes	no
F:cas-ivt-sign-bracket-cbrt2-kernel-checked	cas-certificate	-	cas-term	-	2	2	1	1	no	no	no	no	no	no	no	no	0	yes	-	no	yes	no
F:cas-mvt-cubic-witness-sqrt3	cas-certificate	-	cas-term	-	1	1	1	1	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:cas-mvt-secant-endpoints-kernel-checked	cas-certificate	-	cas-term	-	2	2	1	1	no	no	no	no	no	no	no	no	0	yes	-	no	yes	no
F:cas-partial-fractions-mixed-general-case-kernel-checked	cas-certificate	-	cas-term	-	2	2	1	1	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:cas-partial-fractions-mixed-general-case	cas-certificate	-	cas-term	-	1	1	1	1	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:cas-taylor-quartic-lagrange-witness	cas-certificate	-	cas-term	-	1	1	1	1	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:cas-taylor-remainder-lhs-kernel-checked	cas-certificate	-	cas-term	-	2	2	1	1	no	no	no	no	no	no	no	no	0	yes	-	no	yes	no
F:cassini-as-determinant-of-a-matrix-power	kernel-lean	-	lean4	Rat.det2_fib	3	3	1	3	yes	no	no	no	no	no	no	yes	2	yes	-	no	yes	no
F:cassini-identity-over-constructed-integers	kernel-lean	-	lean4	Int.fib_cassini	2	2	1	10	yes	no	no	no	no	no	no	no	1	yes	-	no	no	no
F:cauchy-schwarz-over-constructed-plane	kernel-lean	-	lean4	-	2	2	1	4	no	no	no	no	no	no	no	no	0	yes	-	no	yes	no
F:chu-vandermonde-convolution-recurrence	cas-certificate	-	cas-term	-	2	2	5	9	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:chu-vandermonde-convolution	cas-certificate	-	cas-term	-	2	2	1	9	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	no
F:complex-abs-add-le	kernel-lean	generated-unreviewed	lean4	Complex.abs_add_le	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-abs-congr	kernel-lean	generated-unreviewed	lean4	Complex.abs_congr	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-abs-le-add-abs-sub	kernel-lean	generated-unreviewed	lean4	Complex.abs_le_add_abs_sub	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-abs-mul	kernel-lean	generated-unreviewed	lean4	Complex.abs_mul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-abs-neg	kernel-lean	generated-unreviewed	lean4	Complex.abs_neg	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
