file	parse	n_dt	n_inexact_dt	n_w1_dt	w1	w1_dt	w1_sort	w2	w3	w3_mentions	predicted	n_assert	n_forall	n_exists	max_qdepth	dt_binders	arraydt_binders	r_q_dt_binder	r_q_arraydt_binder	r_selector	r_tester	r_constructor	r_sel_over_dt_array	r_uf_dt_arg	r_uf_dt_result	r_uf_mentions_dt	r_eq_dt	r_ite_dt	a_q_dt_binder	a_q_arraydt_binder	a_selector	a_tester	a_constructor	a_sel_over_dt_array	a_uf_dt_arg	a_uf_dt_result	a_uf_mentions_dt	a_eq_dt	a_ite_dt	unresolved_sorts
AUFDTLIRA_20200306-Kanig_spark2014bench_adacore_u__communication.adb_41_32_overflow_check___00.smt2.core.smt2	OK	20	6	0	0	NONE	NONE	1	1	0	W3	1	6	1	6	2	0	1	0	10	0	2	0	0	0	0	1	0	2	0	8	0	2	0	0	0	0	1	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.core.smt2	OK	16	0	0	0	NONE	NONE	0	0	0	NONE	1	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2.core.smt2	OK	18	5	0	0	NONE	NONE	0	0	0	NONE	1	15	16	17	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2.core.smt2	OK	14	3	0	0	NONE	NONE	0	0	0	NONE	1	12	10	10	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_K223-023__search__search.ads_8_9_postcondition___00.smt2.core.smt2	OK	11	0	0	0	NONE	NONE	0	0	0	NONE	1	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2.core.smt2	OK	15	3	0	0	NONE	NONE	1	1	0	W3	5	7	0	2	3	0	1	0	8	0	4	0	5	0	0	1	0	3	0	8	0	4	0	5	0	0	1	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_M301-012__array_of_iter__iter_array.adb_21_19_assert___00.smt2.core.smt2	OK	11	0	0	0	NONE	NONE	0	0	0	NONE	1	6	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N120-055__perm__sort.adb_48_22_precondition___00.smt2.core.smt2	OK	14	1	0	0	NONE	NONE	0	0	0	NONE	2	5	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N530-032__swap__sorters.adb_60_25_assert___00.smt2.core.smt2	OK	13	2	0	0	NONE	NONE	0	0	0	NONE	1	9	7	13	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2.core.smt2	OK	15	2	0	0	NONE	NONE	0	0	0	NONE	3	9	0	5	2	0	0	0	0	0	0	0	12	24	0	1	0	2	0	0	0	0	0	9	27	0	2	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2.core.smt2	OK	18	4	0	0	NONE	NONE	0	0	0	NONE	1	14	0	4	8	0	8	0	0	0	0	0	30	20	0	0	0	8	0	0	0	0	0	30	20	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2.core.smt2	OK	13	1	0	0	NONE	NONE	0	0	0	NONE	1	26	0	1	6	0	0	0	0	0	0	0	46	45	0	0	0	6	0	0	0	0	0	33	33	0	4	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2.core.smt2	OK	17	1	0	0	NONE	NONE	0	0	0	NONE	3	12	0	7	6	0	5	0	0	0	0	0	24	0	0	0	0	6	0	0	0	0	0	18	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2.core.smt2	OK	16	1	0	0	NONE	NONE	0	0	0	NONE	2	33	0	2	13	0	13	0	0	0	0	0	150	110	0	0	0	13	0	0	0	0	0	67	31	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2.core.smt2	OK	16	1	0	0	NONE	NONE	0	0	0	NONE	2	73	0	2	26	0	26	0	0	0	0	0	421	324	0	0	0	26	0	0	0	0	0	139	50	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2.core.smt2	OK	16	1	0	0	NONE	NONE	0	0	0	NONE	2	35	0	2	12	0	12	0	0	0	0	0	166	124	0	0	0	12	0	0	0	0	0	82	44	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2.core.smt2	OK	16	1	0	0	NONE	NONE	0	0	0	NONE	2	63	0	2	22	0	22	0	0	0	0	0	304	226	0	0	0	22	0	0	0	0	0	162	92	0	0	0	0
