file	parse	n_dt	n_inexact_dt	n_w1_dt	w1	w1_dt	w1_sort	w2	w3	w3_mentions	predicted	n_assert	n_forall	n_exists	max_qdepth	dt_binders	arraydt_binders	r_q_dt_binder	r_q_arraydt_binder	r_selector	r_tester	r_constructor	r_sel_over_dt_array	r_uf_dt_arg	r_uf_dt_result	r_uf_mentions_dt	r_eq_dt	r_ite_dt	a_q_dt_binder	a_q_arraydt_binder	a_selector	a_tester	a_constructor	a_sel_over_dt_array	a_uf_dt_arg	a_uf_dt_result	a_uf_mentions_dt	a_eq_dt	a_ite_dt	unresolved_sorts
adacore_u__communication.adb_41_32_overflow_check___00.smt2	OK	20	6	0	0	NONE	NONE	1	1	0	W3	37	32	1	6	2	0	1	0	10	0	2	0	0	0	0	1	0	2	0	8	0	2	0	0	0	0	1	0	0
adacore_u__p.adb_99_42_overflow_check___00.smt2	OK	13	1	0	0	NONE	NONE	0	0	0	NONE	18	20	0	4	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2	OK	16	0	0	0	NONE	NONE	0	0	0	NONE	16	38	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2	OK	18	5	0	0	NONE	NONE	0	0	0	NONE	27	45	16	17	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0
ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	OK	14	3	0	0	NONE	NONE	0	0	0	NONE	16	29	10	10	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0
K223-023__search__search.ads_8_9_postcondition___00.smt2	OK	11	0	0	0	NONE	NONE	0	0	0	NONE	12	22	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K606-027__slice__fb20a00.adb_37_49_overflow_check___00.smt2	OK	16	4	0	0	NONE	NONE	0	0	0	NONE	18	25	0	6	1	0	0	0	0	0	0	0	38	58	0	0	0	1	0	0	0	0	0	7	27	0	0	0	0
K627-010__stable_marriage__stable_marriage.ads_21_14_postcondition___00.smt2	OK	11	0	0	0	NONE	NONE	0	0	0	NONE	15	32	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KB25-003__slices__pack.adb_65_22_assert___00.smt2	OK	11	0	0	0	NONE	NONE	0	0	0	NONE	10	18	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	OK	15	3	0	0	NONE	NONE	1	1	0	W3	35	29	0	4	7	0	2	0	10	0	4	0	18	0	0	1	0	7	0	10	0	4	0	15	0	0	1	0	0
M301-012__array_of_iter__iter_array.adb_21_19_assert___00.smt2	OK	11	0	0	0	NONE	NONE	0	0	0	NONE	14	23	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MA11-009__invariant__kmp.adb_16_17_loop_invariant_preserv___00.smt2	OK	15	5	0	0	NONE	NONE	0	0	0	NONE	15	29	6	15	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
N120-055__perm__sort.adb_48_22_precondition___00.smt2	OK	14	1	0	0	NONE	NONE	0	0	0	NONE	21	26	0	4	3	0	0	0	7	0	0	0	15	0	0	0	0	3	0	4	0	0	0	12	0	0	0	0	0
N217-028__update_checks__ar.adb_55_45_range_check___00.smt2	OK	10	0	0	0	NONE	NONE	0	0	0	NONE	10	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N530-032__swap__sorters.adb_60_25_assert___00.smt2	OK	13	2	0	0	NONE	NONE	0	0	0	NONE	15	26	7	13	1	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0
N617-013__vscomp2014__p.adb_9_36_loop_invariant_init___00.smt2	OK	9	0	0	0	NONE	NONE	0	0	0	NONE	8	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	OK	15	2	0	0	NONE	NONE	0	0	0	NONE	27	45	0	5	15	0	7	0	0	0	0	0	57	62	0	2	0	15	0	0	0	0	0	49	64	0	3	0	0
N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	OK	18	4	0	0	NONE	NONE	0	0	0	NONE	30	59	0	4	27	0	17	0	0	0	0	0	85	35	0	1	0	27	0	0	0	0	0	80	34	0	1	0	0
N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	OK	13	1	0	0	NONE	NONE	0	0	0	NONE	25	53	0	4	10	0	2	0	0	0	0	0	63	79	0	0	0	10	0	0	0	0	0	70	103	0	8	0	0
