file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	a4096	sat	0	1610	5	ufbv-online-cdclt	ufbv-online-cdclt	1423	1554	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	a4096n32768	sat	0	1610	5	ufbv-online-cdclt	ufbv-online-cdclt	1416	1565	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	bothmid	sat	0	2311	5	ufbv-online-cdclt	ufbv-online-cdclt	2012	2238	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	bothmax	sat	0	1810	5	ufbv-online-cdclt	ufbv-online-cdclt	1551	1725	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	base	sat	0	1911	5	ufbv-online-cdclt	ufbv-online-cdclt	1632	1848	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	bothmid	unsat	0	1111	5	ufbv-online-cdclt	dl-online	990	1046	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	bothmax	unsat	0	1012	5	ufbv-online-cdclt	dl-online	903	953	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	base	unsat	0	1011	5	ufbv-online-cdclt	dl-online	901	960	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	a4096	unsat	0	1110	5	ufbv-online-cdclt	dl-online	933	988	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	a4096n32768	unsat	0	1010	5	ufbv-online-cdclt	dl-online	917	971	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.5.prop1_ab_reg_max.smt2	base	unknown	0	3314	14	none	dl-online	3129	3250	give-up kind=ResourceLimit detail=online UFBV has 1987 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.5.prop1_ab_reg_max.smt2	a4096	unsat	0	17122	5	ufbv-online-cdclt	ufbv-online-cdclt	13120	16982	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.5.prop1_ab_reg_max.smt2	a4096n32768	unsat	0	15626	5	ufbv-online-cdclt	ufbv-online-cdclt	12351	15576	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.5.prop1_ab_reg_max.smt2	bothmid	unsat	0	7919	5	ufbv-online-cdclt	ufbv-online-cdclt	6348	7810	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.5.prop1_ab_reg_max.smt2	bothmax	unsat	0	7723	5	ufbv-online-cdclt	ufbv-online-cdclt	6587	7610	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	a4096n32768	sat	0	117	4	qf-bv	dl-online	5	6	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	bothmid	sat	0	118	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	bothmax	sat	0	116	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	base	sat	0	115	4	qf-bv	dl-online	4	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	a4096	sat	0	116	4	qf-bv	dl-online	3	4	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	bothmax	sat	0	13034	9	ufbv-online-cdclt	ufbv-online-cdclt	9353	12927	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	base	unknown	0	4414	18	ufbv-online-cdclt	dl-online	4108	4308	give-up kind=ResourceLimit detail=online UFBV has 1205 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	a4096	sat	0	11029	9	ufbv-online-cdclt	ufbv-online-cdclt	7053	10976	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	a4096n32768	sat	0	5821	9	ufbv-online-cdclt	ufbv-online-cdclt	4739	5782	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	bothmid	sat	0	5422	9	ufbv-online-cdclt	ufbv-online-cdclt	4255	5313	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp2.1.prop3_ab_reg_max.smt2	a4096	unsat	0	2517	5	ufbv-online-cdclt	ufbv-online-cdclt	1344	2362	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp2.1.prop3_ab_reg_max.smt2	a4096n32768	unsat	0	2522	5	ufbv-online-cdclt	ufbv-online-cdclt	1312	2450	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp2.1.prop3_ab_reg_max.smt2	bothmid	unsat	0	2623	5	ufbv-online-cdclt	dl-online	1298	2539	none	no
