file	verdict
UFLIA/boogie/Arrays_Q3-noinfer.smt2	unknown
UFLIA/boogie/MultipleErrors_P-showErrorTrace-vc_local_1.smt2	unknown
UFLIA/grasshopper/instantiated/reverse_loop_check_heap_access_35_4.smt2	unsat
UFLIA/simplify/javafe.ast.StandardPrettyPrint.322.smt2	unknown
UFLIA/simplify2/front_end_suite/javafe.ast.AmbiguousVariableAccess.004.smt2	unknown
UFLIA/simplify2/front_end_suite/javafe.ast.MethodDecl.005.smt2	unknown
UFLIA/simplify2/front_end_suite/javafe.ast.VisitorArgResult.016.smt2	unsat
UFLIA/simplify2/front_end_suite/javafe.tc.OutsideEnv.011.smt2	unsat
UFLIA/sledgehammer/FFT/smtlib.1015458.smt2	unknown
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1419033.smt2	unknown
UFLIA/sledgehammer/Hoare/smtlib.1095947.smt2	unknown
UFLIA/sledgehammer/QEpres/smtlib.1120322.smt2	unknown
UFLIA/sledgehammer/StrongNorm/smtlib.686273.smt2	unknown
UFLIA/sledgehammer/TwoSquares/smtlib.916972.smt2	unsat
UFLIA/tokeneer/certificatestore/updatestore-8.smt2	unsat
UFLIA/tokeneer/keystore/digest-127.smt2	unsat
UFLIA/tokeneer/tokenreader/poll/checkcardstate-7.smt2	unsat
UFLIA/boogie/Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2	unknown
UFLIA/boogie/StrictReadOnly_C1.Z1.smt2	unknown
UFLIA/misc/list4.smt2	unknown
UFLIA/simplify/javafe.parser.TokenQueue.576.smt2	unknown
UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	unknown
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	unknown
UFLIA/simplify2/front_end_suite/javafe.parser.Parse.005.smt2	unknown
UFLIA/simplify2/front_end_suite/javafe.util.ErrorSet.009.smt2	unsat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1057395.smt2	unknown
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.718896.smt2	unsat
UFLIA/sledgehammer/Hoare/smtlib.820036.smt2	unsat
UFLIA/sledgehammer/QEpres/smtlib.730254.smt2	unknown
UFLIA/sledgehammer/TwoSquares/smtlib.672156.smt2	unknown
UFLIA/tokeneer/admintoken/clear-6.smt2	unknown
UFLIA/tokeneer/configdata/writefile-8.smt2	unsat
UFLIA/tokeneer/keystore/dofind-32.smt2	unsat
UFLIA/tptp/NUM860=1.smt2	unknown
