file	variables	clauses	group
compose.p2._bit8_na6_nr3_paired.cnf	159514	583192	A
compose.s2._bit8_na6_nr3_paired.cnf	106588	390967	A
compose.s2._bit8_na6_nr4_paired.cnf	143357	523901	A
mobiledevice_bit8_na1_nr1_twocond.cnf	4120	17456	A
mobiledevice_bit8_na6_nr3_paired.cnf	58380	217322	A
mobiledevice_bit8_na6_nr3_twocond.cnf	31482	118228	A
simple_bit8_na1_nr1_twocond.cnf	1424	5651	A
string1x8.3._bit8_na6_nr3_paired.cnf	58826	218751	A
string1x8.6._bit8_na6_nr3_paired.cnf	58826	218751	A
string1x8.7._bit8_na6_nr3_paired.cnf	40548	150293	A
videoconf_simple_bit8_na6_nr3_paired.cnf	94401	346684	A
compose.p3._bit8_na6_nr3_paired.cnf	1401163	5111101	B
string1x8.4._bit8_na6_nr3_paired.cnf	40548	150293	B
tcp_open_bit8_na6_nr3_paired.cnf	82541	304079	B
string1x16.4._bit8_na6_nr3_paired.cnf	108802	398971	B
videoconf_full_bit8_na6_nr3_paired.cnf	141923	518910	B
string2x8.4._bit8_na6_nr3_paired.cnf	143530	524863	B
string4x8.8._bit8_na6_nr3_paired.cnf	256789	937980	B
compose.s3._bit8_na6_nr3_paired.cnf	473949	1729550	B
string4x16.4._bit16_na6_nr4_paired.cnf	3098002	11377248	B
