file	status	asserts	pos_forall_unit	pos_forall_split	split_whitelisted	split_refused	forall_under_binder	exists_pos	any_quant	multi_binder_unit	mbqi_exit_pred	activation_target	widen_target	engine_wl	engine_refused	engine_widen_target
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_K223-023__search__search.ads_8_9_postcondition___00.smt2.core.smt2	OK	1	0	0	0	0	3	6	9	0	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2.core.smt2	OK	5	2	0	0	0	4	1	7	0	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_M301-012__array_of_iter__iter_array.adb_21_19_assert___00.smt2.core.smt2	OK	1	0	0	0	0	5	4	9	0	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N120-055__perm__sort.adb_48_22_precondition___00.smt2.core.smt2	OK	2	1	0	0	0	3	1	5	1	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N530-032__swap__sorters.adb_60_25_assert___00.smt2.core.smt2	OK	1	0	0	0	0	8	8	16	0	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2.core.smt2	OK	3	2	0	0	0	6	1	9	2	nested-binder-in-matrix	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2.core.smt2	OK	1	0	0	0	0	13	1	14	0	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2.core.smt2	OK	1	0	25	0	25	0	1	26	0	quantifier-below-top-level	1	1	0	25	1
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2.core.smt2	OK	3	2	0	0	0	9	1	12	1	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2.core.smt2	OK	2	1	0	0	0	31	1	33	1	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2.core.smt2	OK	2	1	0	0	0	71	1	73	1	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2.core.smt2	OK	2	1	0	0	0	33	1	35	1	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2.core.smt2	OK	2	1	0	0	0	61	1	63	1	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2.core.smt2	OK	3	2	0	0	0	20	8	30	1	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2.core.smt2	OK	1	0	0	0	0	7	7	14	0	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__stacks__stacks.ads_84_58_index_check___00.smt2.core.smt2	OK	4	3	0	0	0	1	1	5	0	nested-binder-in-matrix	1	0	1	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2.core.smt2	OK	1	0	0	0	0	18	1	19	0	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_OA20-032__refinement__patris.adb_121_63_index_check___00.smt2.core.smt2	OK	2	1	0	0	0	3	1	5	0	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2.core.smt2	OK	1	0	0	0	0	12	25	37	0	quantifier-below-top-level	1	0	0	0	0
/nas3/data/axeyum/harness/core-select/cores/AUFDTLIRA_20200306-Kanig_spark2014bench_PA14-032__dic__bounded_strings.adb_8_19_length_check___00.smt2.core.smt2	OK	1	0	0	0	0	0	1	1	0	quantifier-below-top-level	0	0	0	0	0
