file	status	asserts	pos_forall_unit	pos_forall_split	split_whitelisted	split_refused	forall_under_binder	exists_pos	any_quant	multi_binder_unit	mbqi_exit_pred	activation_target	widen_target
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/boogie/FormulaTerm_plus-noinfer_2.smt2	OK	23	19	0	0	0	0	0	19	17	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/boogie/loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2	OK	232	124	52	0	52	5	5	181	97	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify/javafe.ast.GenericBlockStmt.168.smt2	OK	86	73	4	0	4	3	0	80	39	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify/javafe.util.ErrorSet.781.smt2	OK	86	76	1	0	1	3	0	80	39	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.Identifier.010.smt2	OK	202	87	8	0	8	3	0	98	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.TypeObjectDesignator.010.smt2	OK	591	89	17	0	17	3	0	109	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.tc.ConstantExpr.001.smt2	OK	623	90	145	0	145	10	0	245	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Arrow_Order/smtlib.650920.smt2	OK	330	320	0	0	0	143	26	495	248	quantifier-below-top-level	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1282463.smt2	OK	456	435	0	0	0	22	13	473	295	quantifier-below-top-level	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.932420.smt2	OK	456	414	0	0	0	6	13	435	260	quantifier-below-top-level	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/NS_Shared/smtlib.803649.smt2	OK	499	482	0	0	0	46	23	551	378	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/QEpres/smtlib.927783.smt2	OK	463	438	0	0	0	69	65	572	378	quantifier-below-top-level	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.821153.smt2	OK	134	78	0	0	0	1	12	91	64	quantifier-below-top-level	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/tokeneer/auditlog/init-31.smt2	OK	129	33	0	0	0	0	2	35	20	quantifier-below-top-level	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/tokeneer/enclave/startadminactivity-7.smt2	OK	104	33	0	0	0	0	0	33	20	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/tokeneer/screen/writestatsdata-4.smt2	OK	122	26	0	0	0	0	0	26	20	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/20230314-Jaroslav-Bendik-Certora/52759_b3ecd2335fd16ec2eee2_9_UFLIA.smt2	OK	1582	0	4	0	4	2	0	6	0	quantifier-below-top-level	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/boogie/Interval_Cell.Shift_System.Int32.smt2	OK	237	125	3	0	3	5	2	133	98	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/grasshopper/instantiated/delete_check_heap_access_53_12.smt2	OK	246	69	0	0	0	0	0	69	12	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify/javafe.ast.LexicalPragmaVec.219.smt2	OK	86	77	7	0	7	5	3	92	39	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify/tohtml.Java2Html.832.smt2	OK	86	77	23	0	23	16	0	116	39	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.ImportDeclVec.015.smt2	OK	159	86	12	0	12	8	10	116	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.VariableAccess.001.smt2	OK	591	89	21	0	21	3	0	113	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.tc.EnvForLocals.007.smt2	OK	252	85	7	0	7	3	0	95	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Arrow_Order/smtlib.775208.smt2	OK	273	265	0	0	0	91	34	390	220	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1331541.smt2	OK	267	238	0	0	0	24	7	270	148	quantifier-below-top-level	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.972059.smt2	OK	358	296	0	0	0	10	21	328	166	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/QEpres/smtlib.1005883.smt2	OK	369	355	0	0	0	73	18	446	278	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/QEpres/smtlib.990093.smt2	OK	113	104	0	0	0	19	0	123	66	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.851746.smt2	OK	6	3	0	0	0	0	0	3	0	refutation-loop	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/tokeneer/auditlog/truncatelog-1.smt2	OK	107	32	0	0	0	0	0	32	20	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/tokeneer/enrolment/validate-11.smt2	OK	71	24	0	0	0	0	0	24	20	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/tokeneer/tokenreader/getcertificate-11.smt2	OK	150	45	0	0	0	1	1	47	20	quantifier-below-top-level	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/boogie/AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2	OK	328	161	12	0	12	5	2	178	97	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/boogie/LocalExpose_T.V1.smt2	OK	326	131	11	0	11	5	2	147	101	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/grasshopper/instantiated/insertion_sort_postcondition_of_insertion_sort_63_1.smt2	OK	116	56	0	0	0	0	0	56	10	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify/javafe.ast.NewInstanceExpr.271.smt2	OK	86	80	30	0	30	4	0	114	39	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.PrintSpec.012.smt2	OK	230	88	4	0	4	3	0	95	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.011.smt2	OK	591	89	18	0	18	3	0	110	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.Visitor.041.smt2	OK	278	84	0	0	0	3	0	87	48	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.017.smt2	OK	673	90	108	0	108	3	0	201	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Arrow_Order/smtlib.832901.smt2	OK	514	459	0	0	0	116	43	618	325	quantifier-below-top-level	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1372826.smt2	OK	332	288	0	0	0	2	4	294	199	quantifier-below-top-level	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Hoare/smtlib.1019713.smt2	OK	357	337	0	0	0	31	23	391	284	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/QEpres/smtlib.1065390.smt2	OK	504	474	0	0	0	85	36	595	333	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/StrongNorm/smtlib.613065.smt2	OK	500	475	0	0	0	42	26	543	347	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.881298.smt2	OK	5	3	0	0	0	0	0	3	0	refutation-loop	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/tokeneer/cert_/attr_/priv/extract-1.smt2	OK	252	40	0	0	0	0	0	40	20	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/tokeneer/enrolment/validate/validateandaddkey-8.smt2	OK	152	33	0	0	0	0	0	33	20	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/tokeneer/tokenreader/init-38.smt2	OK	265	53	0	0	0	3	5	61	22	quantifier-below-top-level	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/boogie/Arrays_Q3-noinfer.smt2	OK	23	19	0	0	0	0	0	19	17	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/boogie/MultipleErrors_P-showErrorTrace-vc_local_1.smt2	OK	23	19	0	0	0	0	0	19	17	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/grasshopper/instantiated/reverse_loop_check_heap_access_35_4.smt2	OK	48	25	0	0	0	0	0	25	10	multi-binder-prefix	0	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify/javafe.ast.StandardPrettyPrint.322.smt2	OK	86	82	96	0	96	3	0	181	39	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.AmbiguousVariableAccess.004.smt2	OK	589	89	17	0	17	3	0	109	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.MethodDecl.005.smt2	OK	601	89	139	0	139	10	0	238	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.VisitorArgResult.016.smt2	OK	278	84	0	0	0	3	0	87	48	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/simplify2/front_end_suite/javafe.tc.OutsideEnv.011.smt2	OK	268	87	7	0	7	3	0	97	48	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/FFT/smtlib.1015458.smt2	OK	448	428	0	0	0	14	2	444	341	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1419033.smt2	OK	333	314	0	0	0	18	8	340	202	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/Hoare/smtlib.1095947.smt2	OK	522	509	1	0	1	67	47	624	442	nested-binder-in-matrix	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/QEpres/smtlib.1120322.smt2	OK	368	348	0	0	0	128	18	494	267	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/StrongNorm/smtlib.686273.smt2	OK	499	474	0	0	0	48	41	563	360	nested-binder-in-matrix	1	0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.916972.smt2	OK	296	259	0	0	0	2	10	271	211	quantifier-below-top-level	1	0
