file	status	asserts	pos_forall_unit	pos_forall_split	split_whitelisted	split_refused	forall_under_binder	exists_pos	any_quant	multi_binder_unit	mbqi_exit_pred	activation_target	widen_target	engine_wl	engine_refused	engine_widen_target
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	OK	35	17	0	0	0	11	1	29	1	nested-binder-in-matrix	1	0	1	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/M830-004__checks__do_checks.adb_23_24_range_check___00.smt2	OK	46	20	0	0	0	8	1	29	4	nested-binder-in-matrix	1	0	0	3	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N602-053__update__sorters.adb_39_13_loop_invariant_init___00.smt2	OK	14	9	0	0	0	8	1	18	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_228_50_precondition4___00.smt2	OK	44	26	0	0	0	128	4	159	8	nested-binder-in-matrix	1	0	20	28	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_12_6_postcondition3___00.smt2	OK	25	19	0	0	0	20	1	40	4	nested-binder-in-matrix	1	0	2	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N902-010__a_stack_no_spark_contracts_with_body.adb_25_18_index_check___00.smt2	OK	12	10	0	0	0	7	1	18	1	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.adb_181_22_overflow_check___00.smt2	OK	13	8	0	0	0	7	1	16	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/P427-045__iterable_for_proof__test_containers.adb_22_38_precondition___00.smt2	OK	23	9	0	0	0	32	1	42	1	nested-binder-in-matrix	1	0	2	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/Q424-003__if_expression__string_utilities.adb_17_24_index_check___00.smt2	OK	43	29	0	0	0	19	1	49	11	nested-binder-in-matrix	1	0	0	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__flow_pointers__spark05.adb_55_16_null_pointer_dereference___00.smt2	OK	67	39	0	0	0	35	10	84	7	nested-binder-in-matrix	1	0	2	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_496459_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	OK	36	19	0	0	0	36	15	70	6	nested-binder-in-matrix	1	0	0	3	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_d70bc5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	OK	36	19	0	0	0	21	3	43	6	nested-binder-in-matrix	1	0	0	3	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/S108-006__text_io_warnings__text_io_warnings.adb_26_38_overflow_check___00.smt2	OK	58	40	0	0	0	14	1	55	7	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/S702-024__record_attributes_in_allocators__test_constrained.adb_45_22_assert___00.smt2	OK	19	8	0	0	0	6	1	15	1	nested-binder-in-matrix	1	0	0	1	1
