file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	qtrace	giveup
UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_16_59_33_621_1039748.smt_in.smt2	none	134	13891	NOROUTE	na	na	na	na	na	na	na	na	(+3 segments of other stages dropped)	none
UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_02_323_1069308.smt_in.smt2	unsat	0	207	7	q:mbqi-quick	q:mbqi-quick	q:mbqi-quick	71	122	na	na	na	(+14 segments of other stages dropped)	none
UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_30_240_1098389.smt_in.smt2	unsat	0	3110	82	q:egraph	q:ground-subset	q:egraph	417	3039	na	na	na	egraph@0.017:declined;egraph@0.012:declined;egraph@0.012:declined;egraph@0.012:declined;egraph@0.012:declined;egraph@0.291:declined;egraph@0.010:declined;egraph@0.356:declined;egraph@2.962:unsat;(+90 segments of other stages dropped)	none
UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_58_080_1129868.smt_in.smt2	unknown	0	24229	311	none	q:mbqi	fd:bounded-completeness-unsat	5246	24106	na	na	na	egraph@0.499:declined;egraph@0.087:declined;egraph@0.014:declined;egraph@0.027:declined;egraph@0.027:declined;egraph@0.017:declined;egraph@0.017:declined;egraph@0.028:declined;egraph@0.027:declined;egraph@0.010:declined;egraph@0.008:declined;egraph@0.009:declined;egraph@0.009:declined;egraph@0.014:declined;egraph@0.029:declined;egraph@0.028:declined;egraph@0.019:declined;egraph@0.018:declined;egraph@0.029:declined;egraph@0.029:declined;egraph@0.010:declined;egraph@0.011:declined;egraph@0.011:declined;egraph@0.011:declined;egraph@0.501:declined;egraph@7.075:declined;egraph@24.019:declined;(+240 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_52_38_278_1003962.smt_in.smt2	unknown	0	306	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	83	212	na	na	na	egraph@0.108:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_04_087_1031693.smt_in.smt2	unknown	0	307	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	94	234	na	na	na	egraph@0.122:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_30_176_1063054.smt_in.smt2	unknown	0	307	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	84	213	na	na	na	egraph@0.108:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_56_537_1094926.smt_in.smt2	unknown	0	409	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	122	300	na	na	na	egraph@0.150:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_48_42_591_1040231.smt_in.smt2	unknown	0	25229	7	none	q:uf-fmf-probe	q:egraph	8522	13322	q:egraph	11677	euf:fc-loop>euf:fc-abstract	egraph@13.248:declined;(+101 segments of other stages dropped)	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_49_17_188_1074420.smt_in.smt2	unsat	0	2009	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	1821	1904	na	na	na	(+14 segments of other stages dropped)	none
