file	method	bytes	logic	status	vars	asserts	atoms	equalities	eq_bool_hint	eq_share	strict	muls	rational_lits	max_numeral_digits	max_denominator_digits
QF_LRA/2019-ezsmt/blending/17.smt2	token-scan	47217	QF_LRA	unknown	363	609	262	90	0	0.344	17	61	0	5	2
QF_LRA/2019-ezsmt/blending/1.smt2	token-scan	47241	QF_LRA	unknown	363	609	262	90	0	0.344	17	61	0	5	2
QF_LRA/2019-ezsmt/blending/24.smt2	token-scan	47223	QF_LRA	unknown	363	609	262	90	0	0.344	17	61	0	5	2
QF_LRA/2019-ezsmt/blending/5.smt2	token-scan	47235	QF_LRA	unknown	363	609	262	90	0	0.344	17	61	0	5	2
QF_LRA/2019-ezsmt/robotics/1_4.smt2	token-scan	19187	QF_LRA	unknown	162	174	44	31	0	0.705	2	0	0	9	9
QF_LRA/2019-ezsmt/robotics/4_3.smt2	token-scan	51710	QF_LRA	unknown	415	449	126	83	0	0.659	2	0	0	4	3
QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2	token-scan	239956	QF_LRA	unknown	1273	3191	555	30	0	0.054	2	0	0	4	2
QF_LRA/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2	token-scan	1579197	QF_LRA	unknown	8021	22424	3793	1269	0	0.335	2	0	0	4	2
QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2	token-scan	1782445	QF_LRA	unknown	9061	25306	4287	1439	0	0.336	2	0	0	4	2
QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	token-scan	1571805	QF_LRA	unknown	8021	22310	3793	1269	0	0.335	2	0	0	4	2
QF_LRA/clock_synchro/clocksynchro_2clocks.main_invar.base.smt2	token-scan	8832	QF_LRA	unsat	34	1	150	59	0	0.393	12	82	53	4	4
QF_LRA/clock_synchro/clocksynchro_4clocks.main_invar.base.smt2	token-scan	17094	QF_LRA	unsat	66	1	302	115	0	0.381	18	128	81	4	4
QF_LRA/clock_synchro/clocksynchro_6clocks.main_invar.base.smt2	token-scan	27166	QF_LRA	unsat	106	1	486	179	0	0.368	24	174	109	4	4
QF_LRA/clock_synchro/clocksynchro_8clocks.main_invar.base.smt2	token-scan	39372	QF_LRA	unsat	154	1	702	251	0	0.358	30	220	137	4	4
QF_LRA/DTP-Scheduling/constraints-cooking06.smt2	token-scan	9076	QF_LRA	sat	36	1	151	1	0	0.007	13	0	0	2	2
QF_LRA/DTP-Scheduling/constraints-cooking14.smt2	token-scan	20071	QF_LRA	sat	76	1	335	1	0	0.003	29	0	0	2	2
QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	token-scan	31231	QF_LRA	sat	116	1	519	1	0	0.002	45	0	0	2	2
QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	token-scan	30470	QF_LRA	sat	93	1	688	1	0	0.001	269	0	0	2	2
QF_LRA/DTP-Scheduling/constraints-tempo-depth-9.smt2	token-scan	8857	QF_LRA	sat	30	1	205	1	0	0.005	80	0	0	2	2
QF_LRA/DTP-Scheduling/constraints-tempo-matrix8x8.pddl.smt2	token-scan	370795	QF_LRA	sat	195	1	4963	1	0	0.000	4089	0	0	2	2
QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A10.smt2	token-scan	17805	QF_LRA	sat	46	1	319	1	0	0.003	82	0	0	2	2
QF_LRA/DTP-Scheduling/constraints-tempo-width-40.smt2	token-scan	510155	QF_LRA	sat	123	1	10122	1	0	0.000	9680	0	0	2	2
QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	token-scan	30875	QF_LRA	sat	30	1	605	1	0	0.002	504	0	0	2	2
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	token-scan	5656	QF_LRA	sat	20	1	99	1	0	0.010	22	0	0	2	2
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-30.smt2	token-scan	39465	QF_LRA	sat	106	1	641	1	0	0.002	143	0	0	2	2
QF_LRA/keymaera/bouncing-ball-inv-node1886.smt2	token-scan	881	QF_LRA	unsat	5	1	7	2	0	0.286	3	0	0	4	2
QF_LRA/keymaera/intersection-example-simple.proof-node634.smt2	token-scan	1524	QF_LRA	unsat	14	1	14	4	0	0.286	5	0	0	4	2
QF_LRA/keymaera/water_tank-node23593.smt2	token-scan	1128	QF_LRA	unsat	3	1	7	2	0	0.286	0	1	0	5	2
QF_LRA/latendresse/ecoliMILPglycerolYices3-50000.smt2	token-scan	317724	QF_LRA	sat	1798	2864	4714	1110	0	0.235	0	5556	1	6	4
QF_LRA/meti-tarski/Arthan/1A/Arthan1A-chunk-0016.smt2	token-scan	921	QF_LRA	sat	4	1	6	0	0	0.000	0	1	3	8	8
QF_LRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0031.smt2	token-scan	852	QF_LRA	sat	3	1	5	0	0	0.000	0	1	0	4	2
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0014.smt2	token-scan	825	QF_LRA	sat	3	1	4	0	0	0.000	0	1	0	4	2
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0034.smt2	token-scan	843	QF_LRA	sat	3	1	5	0	0	0.000	0	1	0	4	2
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0054.smt2	token-scan	828	QF_LRA	sat	3	1	4	0	0	0.000	0	1	0	4	2
