file	method	bytes	logic	status	vars	asserts	atoms	equalities	eq_bool_hint	eq_share	strict	muls	rational_lits	max_numeral_digits	max_denominator_digits
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	token-scan	197186	QF_LRA	unsat	96	107	1353	672	0	0.497	400	5680	0	4	2
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	token-scan	77698	QF_LRA	unsat	71	74	573	244	0	0.426	180	2628	0	7	2
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	token-scan	117253	QF_LRA	unsat	124	112	781	414	0	0.530	180	3664	0	10	2
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	token-scan	7020670	QF_LRA	unknown	1225	1209	30465	24848	0	0.816	3002	185990	0	6	2
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	token-scan	228866	QF_LRA	unsat	129	160	1820	666	0	0.366	692	8202	0	6	2
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	token-scan	392053	QF_LRA	unsat	201	252	3052	1090	0	0.357	1188	14162	0	6	2
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	token-scan	1042313	QF_LRA	unsat	2446	2171	8955	5792	0	0.647	704	23056	0	6	2
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	token-scan	101554	QF_LRA	unsat	92	96	762	388	0	0.509	196	3236	0	5	2
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	token-scan	17002591	QF_LRA	unknown	80127	251076	13639	1374	0	0.101	3	0	0	5	2
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	token-scan	17021484	QF_LRA	unknown	80223	251371	13662	1375	0	0.101	3	0	0	5	2
QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	token-scan	1782809	QF_LRA	unknown	9081	25273	4295	1439	0	0.335	2	0	0	4	2
QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	token-scan	1050353	QF_LRA	unsat	1017	71	13638	10967	0	0.804	947	5770	0	5	2
QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2	token-scan	8121611	QF_LRA	sat	17752	566	97102	72804	0	0.750	3486	52016	0	5	2
QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	token-scan	10950201	QF_LRA	sat	22882	566	129082	99744	0	0.773	3486	68936	0	5	2
QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	token-scan	852591	QF_LRA	unsat	411	71	11003	8844	0	0.804	947	3718	0	5	2
QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	token-scan	4921206	QF_LRA	unsat	3690	199	58611	51004	0	0.870	2143	20140	0	5	2
QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	token-scan	1556351	QF_LRA	sat	2002	174	20268	15886	0	0.784	1298	9884	0	5	2
QF_LRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	token-scan	1537316	QF_LRA	sat	3887	505	16851	9124	0	0.541	2205	18522	0	5	2
QF_LRA/LassoRanker/CooperatingT2/ex11.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	token-scan	3053124	QF_LRA	unsat	2795	391	39068	29421	0	0.753	3595	17442	0	5	2
QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration1_Lasso_4-lexTemplate.smt2	token-scan	3248355	QF_LRA	sat	9240	644	37020	23376	0	0.631	2516	40328	0	5	2
QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration3_Loop_4-pieceTemplate.smt2	token-scan	2207795	QF_LRA	sat	6139	316	22989	14453	0	0.629	1402	22674	0	5	2
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2	token-scan	4822062	QF_LRA	sat	20160	644	54876	30064	0	0.548	2516	43240	0	5	2
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration9_Loop_4-lexTemplate.smt2	token-scan	5289137	QF_LRA	sat	20764	644	59324	33936	0	0.572	2516	47944	0	5	2
QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	token-scan	3131302	QF_LRA	unsat	6237	505	34050	24769	0	0.727	2205	47115	0	5	2
QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	token-scan	937621	QF_LRA	sat	569	71	12263	9960	0	0.812	947	3910	0	5	2
QF_LRA/LassoRanker/CooperatingT2/ludcmp.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	token-scan	3841153	QF_LRA	sat	1881	199	50689	44842	0	0.885	2143	16700	0	5	2
QF_LRA/LassoRanker/CooperatingT2/matrixsqrt.t2.c_Iteration12_Loop_7-phaseTemplate.smt2	token-scan	730108	QF_LRA	sat	493	71	9265	7010	0	0.757	947	3082	0	5	2
QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2	token-scan	1605652	QF_LRA	sat	3641	505	17675	9990	0	0.565	2205	17040	0	5	2
QF_LRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	token-scan	2510389	QF_LRA	unsat	1630	199	31937	26250	0	0.822	2143	11780	0	5	2
QF_LRA/LassoRanker/CooperatingT2/queens.t2.c_Iteration19_Loop_7-phaseTemplate.smt2	token-scan	1898073	QF_LRA	sat	1291	71	24428	21501	0	0.880	947	8098	0	5	2
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration3_Lasso_5-phaseTemplate.smt2	token-scan	1269651	QF_LRA	sat	1996	149	15205	12000	0	0.789	837	15336	0	5	2
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_6-phaseTemplate.smt2	token-scan	2353837	QF_LRA	sat	2792	174	27610	22864	0	0.828	1298	22992	0	5	2
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration6_Lasso_6-phaseTemplate.smt2	token-scan	2394275	QF_LRA	sat	2546	174	28610	24144	0	0.844	1298	23556	0	5	2
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2	token-scan	6988776	QF_LRA	unsat	8346	647	85883	67284	0	0.783	5303	32872	0	5	2
QF_LRA/LassoRanker/CooperatingT2/sumit.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	token-scan	2214563	QF_LRA	sat	1520	199	28955	23492	0	0.811	2143	12676	0	5	2
QF_LRA/LassoRanker/CooperatingT2/toeplz.c.i.toeplz.pl.t2.fixed.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	token-scan	6121174	QF_LRA	sat	2953	199	78829	72022	0	0.914	2143	26388	0	5	2
QF_LRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_4-nestedTemplate.smt2	token-scan	9073381	QF_LRA	sat	47761	3121	95853	24232	0	0.253	12121	73750	0	5	2
QF_LRA/LassoRanker/SV-COMP/Ben-Amram-2010LMCS-Ex2.3_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	token-scan	2146756	QF_LRA	unsat	6888	625	21156	9528	0	0.450	2623	23063	0	5	2
QF_LRA/LassoRanker/SV-COMP/BradleyMannaSipma-2005CAV-Fig1_true-termination.c_Iteration1_Lasso_7-phaseTemplate.smt2	token-scan	2270077	QF_LRA	sat	4060	647	25011	10700	0	0.428	5303	16680	0	5	2
QF_LRA/LassoRanker/SV-COMP/CookSeeZuleger-2013TACAS-Fig3_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	token-scan	4970156	QF_LRA	unsat	18941	2521	56671	17300	0	0.305	10551	40725	0	5	2
QF_LRA/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2	token-scan	14043584	QF_LRA	unknown	31289	6049	159293	80172	0	0.503	24945	175512	0	5	2
QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration1_Loop_7-phaseTemplate.smt2	token-scan	798912	QF_LRA	sat	2085	199	8571	2324	0	0.271	2143	4020	0	5	2
QF_LRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	token-scan	12818192	QF_LRA	unsat	49607	4681	136997	50388	0	0.368	19099	139824	0	5	2
QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_3-pieceTemplate.smt2	token-scan	1174824	QF_LRA	unsat	4555	469	12893	5600	0	0.434	1645	14968	0	5	2
QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Loop_7-phaseTemplate.smt2	token-scan	1022101	QF_LRA	unsat	1706	199	12967	7120	0	0.549	2143	4932	0	5	2
QF_LRA/LassoRanker/SV-COMP/Masse_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	token-scan	1353782	QF_LRA	unsat	4099	1009	16059	3734	0	0.233	4315	15036	0	5	2
QF_LRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig8_true-termination.c_Iteration1_Loop_5-phaseTemplate.smt2	token-scan	831507	QF_LRA	unsat	2496	293	9462	4027	0	0.426	1541	5994	0	5	2
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	token-scan	17864959	QF_LRA	sat	78211	7561	202644	63443	0	0.313	31087	138948	0	5	2
QF_LRA/LassoRanker/Ultimate/2013POPL-BenAmGen-Ex4.2.bpl_Iteration1_Lasso_4-pieceTemplate.smt2	token-scan	120358	QF_LRA	unsat	327	64	1364	534	0	0.391	300	1374	0	5	2
QF_LRA/LassoRanker/Ultimate/bound-scaled600.bpl_Iteration1_Loop_7-phaseTemplate.smt2	token-scan	14414803	QF_LRA	sat	4285	31	153745	152822	0	0.994	445	50759	0	5	2
QF_LRA/LassoRanker/Ultimate/Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	token-scan	75399	QF_LRA	unsat	108	27	981	434	0	0.442	245	489	0	5	2
QF_LRA/LassoRanker/Ultimate/Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	token-scan	1181131	QF_LRA	unsat	2908	566	14382	4700	0	0.327	3486	7412	0	5	2
QF_LRA/LassoRanker/Ultimate/Collatz.bpl_Iteration1_Loop_6-phaseTemplate.smt2	token-scan	11282707	QF_LRA	unsat	50054	4374	116106	24184	0	0.208	21198	90434	0	5	2
QF_LRA/LassoRanker/Ultimate/Gcd.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	token-scan	832647	QF_LRA	sat	1068	199	9421	4262	0	0.452	2143	5060	0	5	2
QF_LRA/LassoRanker/Ultimate/Gcd_havoc.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	token-scan	432169	QF_LRA	sat	813	111	5554	3106	0	0.559	891	3531	0	5	2
QF_LRA/LassoRanker/Ultimate/Lobnya-Boolean-Reordered.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	token-scan	745905	QF_LRA	unsat	892	199	8702	3655	0	0.420	2143	3044	0	5	2
