# R3 reachability census -- docs/mathematics-2026-08/04-reachability.md
#
# Measured 2026-08-17 against the sibling `math-education` graph at commit
# ce3e2a5 (2026-08-13, unchanged since): 148 misconception files (147 live,
# one `status: deprecated`) and 42 technique files.
#
# This file exists because the 2026-08-13 misconception census was never
# committed. Only its prose survived, in
# docs/campaign-2026-08-13/agent-j-misconceptions/RESULT.md, so its headline
# "17 out of fragment" could not be re-derived by anyone -- and it does not
# survive re-derivation. See the R3 section of 04-reachability.md.
#
# Columns: corpus, slug, class, fragment, note.
#
#   class A -- the obligation is discharged in a fragment axeyum decides today
#           (for a misconception: formalisable and refutable; for a technique:
#           the technique's characteristic obligation is finite by nature).
#   class B -- a genuine obligation, out of every fragment axeyum decides.
#           `fragment` names what it would need. NON-EMPTY EXACTLY FOR B.
#   class C -- not a checkable obligation at all (for a misconception: not a
#           proposition; for a technique: a search heuristic, not a proof step).
#   class DEP -- deprecated in the corpus, excluded from the denominator.
#
# The A/C boundary is a judgment call and is not what this file is for; the B
# set and its `fragment` column are the load-bearing content, because they are
# the ranked feature request R3 asked for.
#
# Re-derive the ranking with scripts/check-reachability-census.py, which also
# pins the table in 04-reachability.md against it.
corpus	slug	class	fragment	note
misconception	a-best-fit-line-must-pass-through-the-most-points	A		Formalisable and refutable in a fragment axeyum decides today.
misconception	a-chart-of-real-numbers-cant-mislead	C		Not a checkable mathematical proposition (epistemic, definitional, process, perceptual or empirical).
misconception	a-complement-is-one-other-outcome	A		Formalisable and refutable in a fragment axeyum decides today.
misconception	a-dataset-answers-any-question-about-its-topic	C		Not a checkable mathematical proposition (epistemic, definitional, process, perceptual or empirical).
misconception	a-drawn-trendline-proves-a-strong-relationship	A		Formalisable and refutable in a fragment axeyum decides today.
misconception	a-fairer-voting-method-must-exist-we-just-havent-found-it	B	higher-order-quantification	Arrow: the quantifier ranges over social welfare functions, i.e. over a function space, not over a finite domain of values.
misconception	a-good-fit-can-be-extended-indefinitely	C		Not a checkable mathematical proposition (epistemic, definitional, process, perceptual or empirical).
misconception	a-limit-is-a-value-you-cant-quite-reach	B	limits-and-convergence	A limit is defined by an epsilon-delta condition with quantifier alternation over the reals; nothing in the finite core can state it.
misconception	a-limit-is-just-a-good-approximation	B	limits-and-convergence	Requires the exact value of a limit, i.e. the limit operator itself, not an approximation of it.
misconception	a-numbered-claim-is-data	C		Not a checkable mathematical proposition (epistemic, definitional, process, perceptual or empirical).
misconception	a-plus-b-squared-equals-a-squared-plus-b-squared	A		Formalisable and refutable in a fragment axeyum decides today.
misconception	a-scatter-plot-can-pair-any-two-values	C		Not a checkable mathematical proposition (epistemic, definitional, process, perceptual or empirical).
misconception	a-solid-trendline-is-measured-everywhere	C		Not a checkable mathematical proposition (epistemic, definitional, process, perceptual or empirical).
misconception	a-square-is-not-a-rectangle	A		Formalisable and refutable in a fragment axeyum decides today.
misconception	a-year-is-exactly-365-days	C		Not a checkable mathematical proposition (epistemic, definitional, process, perceptual or empirical).
misconception	accurate-test-means-positive-result-is-reliable	DEP		status: deprecated in the corpus; excluded from the 147 denominator.
misconception	add-numerators-and-denominators	A		Formalisable and refutable in a fragment axeyum decides today.
misconception	adjacent-means-the-hypotenuse	A		Formalisable and refutable in a fragment axeyum decides today.
misconception	all-infinities-are-the-same	B	cardinality	Comparison of infinite cardinals.
misconception	all-natural-spirals-are-golden-spirals	A		Formalisable and refutable in a fragment axeyum decides today.
misconception	all-primes-are-odd	A		Formalisable and refutable in a fragment axeyum decides today.
